Unnamed: 0,Rating,Jurisdiction,Charges,Days_of_disposal,City,Years_of_Experience,Type_of_Lawyer,Languages,Pro_bono,Lawyer Names,Lawfirms,Demography,Gender
558,4.0,Supreme Court,237,91.0,['Kolkata'],16,"['Medical', 'Civil', 'Intellectual Property']","['Marathi', 'Malayalam']",yes,Eva Deshmukh,"['R', 'hawa LLC']",Small Businesses.,Female
559,3.0,Specialized Court,191,96.0,['Mumbai'],29,"['Media and Entertainment', 'Real Estate', 'Civil']","['Assamese', 'Marathi', 'Gujarati']",yes,Eva Hayer,"['Ch', 'Group']",Large Corporations.,Female
560,5.0,Supreme Court,60,90.0,['Bangalore'],19,"['Labor', 'Media and Entertainment', 'Media and Entertainment']","['Bengali', 'Gujarati', 'Punjabi']",yes,Eva Ram,"['Doctor', 'Mann', 'Brahmbhatt']",Small Businesses.,Female
561,4.0,High Court,158,106.0,['Mumbai'],21,"['Media and Entertainment', 'Real Estate', 'Criminal']","['Kannada', 'Tamil']",yes,Eva Sandal,"['Venkatesh', 'Tiwari', 'M', '']",Small Businesses.,Female
562,5.0,Specialized Court,435,122.0,['Bangalore'],22,"['Corporate', 'Family', 'Corporate']","['Telugu', 'Assamese', 'Marathi']",yes,Eva Vyas,['Kakar-Bajaj'],Individuals.,Female
563,5.0,Supreme Court,498,108.0,['Bangalore'],10,"['Real Estate', 'Criminal', 'Family']","['Telugu', 'Bengali', 'Odia']",yes,Faiyaz Agate,['Ray Group'],Small Businesses.,Male
564,3.0,Supreme Court,170,74.0,['Kolkata'],14,"['Constitutional', 'Environmental', 'Banking and Finance']","['Punjabi', 'Urdu', 'Malayalam']",no,Faiyaz Balay,"['Raj', 'Khanna', 'Raja']",Individuals.,Male
565,3.0,Specialized Court,311,98.0,['Hyderabad'],29,"['Family', 'Intellectual Property', 'Civil']","['Marathi', 'Urdu']",no,Faiyaz Barad,['Dugar PLC'],Individuals.,Male
566,1.0,District Court,446,93.0,['Chennai'],4,"['Consumer Protection', 'Immigration', 'Tax']","['Bengali', 'Gujarati', 'Malayalam']",yes,Faiyaz Ben,"['Balay', 'Ghose', 'Saraf']",Individuals.,Male
567,3.0,District Court,154,94.0,['Hyderabad'],4,"['Consumer Protection', 'Environmental', 'Real Estate']","['Punjabi', 'Kannada', 'Gujarati']",no,Faiyaz Chaudhry,['Bhavsar-Aggarwal'],Individuals.,Male
568,,High Court,447,90.0,['Bangalore'],14,"['Criminal', 'Real Estate', 'Criminal']","['Telugu', 'Kannada', 'Marathi']",no,Faiyaz Dasgupta,"['Dube', 'Khare', 'Butala']",Individuals.,Male
569,4.0,Supreme Court,58,93.0,['Mumbai'],25,"['Family', 'Real Estate', 'Banking and Finance']","['Kannada', 'Marathi']",no,Faiyaz Dave,['Walla Group'],Large Corporations.,Male
570,5.0,High Court,289,55.0,['Kolkata'],26,"['Labor', 'Labor', 'Intellectual Property']","['Bengali', 'Kannada', 'Gujarati']",no,Faiyaz Dube,['Bhatti-Choudhary'],Individuals.,Male
571,3.0,Specialized Court,169,81.0,['Delhi'],28,"['Human Rights', 'Consumer Protection', 'Banking and Finance']","['Punjabi', 'Hindi', 'Urdu']",yes,Faiyaz Kalita,['Kamdar-Lal'],Small Businesses.,Male
572,2.0,Supreme Court,468,83.0,['Delhi'],20,"['Consumer Protection', 'Medical', 'Environmental']","['Bengali', 'Urdu', 'Tamil']",yes,Faiyaz Rama,"['Wali', 'Kar', 'Singh']",Individuals.,Male
573,1.0,District Court,186,110.0,['Hyderabad'],2,"['Banking and Finance', 'Tax', 'Family']","['Kannada', 'Assamese', 'Marathi']",no,Faiyaz Saxena,['Karpe Inc'],Individuals.,Male
574,5.0,Specialized Court,94,63.0,['Bangalore'],22,"['Tax', 'Constitutional', 'Tax']","['Telugu', 'Marathi', 'Urdu']",no,Faiyaz Shroff,['Tripathi-Garg'],Individuals.,Male
575,3.0,High Court,166,98.0,['Delhi'],4,"['Media and Entertainment', 'Criminal', 'Banking and Finance']","['Assamese', 'Gujarati', 'Punjabi']",yes,Faiyaz Tripathi,['Aggarwal-Kala'],Large Corporations.,Male
576,4.0,High Court,431,102.0,['Hyderabad'],8,"['Environmental', 'Immigration', 'Civil']","['Bengali', 'Kannada', 'Tamil']",yes,Faiyaz Vyas,"['Tailor', 'Gokhale', 'Kade']",Small Businesses.,Male
577,3.0,Supreme Court,283,95.0,['Kolkata'],4,"['Criminal', 'Corporate', 'Constitutional']","['Telugu', 'Marathi', 'Hindi']",yes,Farhan Bajaj,['Goswami-Kurian'],Small Businesses.,Male
578,1.0,District Court,73,79.0,['Hyderabad'],17,"['Labor', 'Medical', 'Criminal']","['Punjabi', 'Gujarati', 'Malayalam']",yes,Farhan Balasubramanian,"['Thaman', 'Banik', 'Rege']",Small Businesses.,Male
579,5.0,Supreme Court,268,105.0,['Chennai'],23,"['Immigration', 'Consumer Protection', 'Corporate']","['Bengali', 'Telugu', 'Gujarati']",yes,Farhan Bhalla,"['Sharma', 'Sons']",Large Corporations.,Male
580,,District Court,250,90.0,['Kolkata'],13,"['Intellectual Property', 'Human Rights', 'Banking and Finance']","['Bengali', 'Assamese', 'Punjabi']",no,Farhan Boase,['Tata-Chacko'],Large Corporations.,Male
581,5.0,Specialized Court,381,80.0,['Chennai'],3,"['Real Estate', 'Criminal', 'Banking and Finance']","['Kannada', 'Marathi', 'Hindi']",no,Farhan Chahal,['Subramaniam-Saraf'],Individuals.,Male
582,2.0,Specialized Court,445,107.0,['Chennai'],5,"['Medical', 'Labor', 'Tax']","['Assamese', 'Telugu', 'Odia']",no,Farhan Ramanathan,"['Biswas', 'Karan', 'Saini']",Large Corporations.,Male
583,3.0,Supreme Court,93,83.0,['Bangalore'],18,"['Civil', 'Corporate', 'Real Estate']","['Telugu', 'Odia']",yes,Farhan Rattan,['Doshi-Dua'],Individuals.,Male
584,3.0,Specialized Court,366,86.0,['Delhi'],2,"['Tax', 'Human Rights', 'Banking and Finance']","['Marathi', 'Gujarati', 'Urdu']",no,Farhan Sarna,['Gaba-Tank'],Large Corporations.,Male
585,,Specialized Court,489,90.0,['Delhi'],15,"['Real Estate', 'Medical', 'Intellectual Property']","['Punjabi', 'Assamese', 'Marathi']",no,Farhan Solanki,['Sahni-Dube'],Individuals.,Male
586,5.0,Supreme Court,153,79.0,['Hyderabad'],26,"['Civil', 'Constitutional', 'Medical']","['Gujarati', 'Tamil']",yes,Fateh Bhatia,['Comar-Suri'],Large Corporations.,Male
587,1.0,High Court,367,66.0,['Chennai'],12,"['Constitutional', 'Medical', 'Intellectual Property']","['Kannada', 'Odia', 'Punjabi']",yes,Fateh Char,['Tata-Ramakrishnan'],Small Businesses.,Male
588,1.0,Supreme Court,78,104.0,['Delhi'],8,"['Human Rights', 'Labor', 'Environmental']","['Marathi', 'Gujarati', 'Urdu']",yes,Fateh Dhar,['Sundaram Group'],Small Businesses.,Male
589,3.0,High Court,60,123.0,['Kolkata'],24,"['Medical', 'Media and Entertainment', 'Media and Entertainment']","['Marathi', 'Gujarati']",no,Fateh Doshi,['Sane Group'],Large Corporations.,Male
590,1.0,Specialized Court,104,77.0,['Kolkata'],9,"['Corporate', 'Corporate', 'Tax']","['Telugu', 'Odia']",yes,Fateh Kalla,['Hari-Chakraborty'],Small Businesses.,Male
591,2.0,Supreme Court,484,87.0,['Kolkata'],26,"['Medical', 'Constitutional', 'Media and Entertainment']","['Telugu', 'Assamese', 'Hindi']",yes,Fateh Kara,['Sarna Ltd'],Small Businesses.,Male
592,1.0,High Court,369,89.0,['Kolkata'],21,"['Family', 'Intellectual Property', 'Intellectual Property']","['Assamese', 'Marathi', 'Hindi']",yes,Fateh Kari,"['Sarin', 'Walia', 'Sodhi']",Large Corporations.,Male
593,3.0,High Court,351,73.0,['Kolkata'],1,"['Consumer Protection', 'Tax', 'Labor']","['Bengali', 'Urdu']",no,Fateh Kohli,['Sachdeva-Mahajan'],Individuals.,Male
594,1.0,High Court,220,129.0,['Delhi'],6,"['Media and Entertainment', 'Family', 'Civil']","['Tamil', 'Odia', 'Urdu']",no,Fateh Sahota,"['Iyer', 'Barad', 'Bail']",Individuals.,Male
595,4.0,Supreme Court,435,82.0,['Delhi'],3,"['Tax', 'Criminal', 'Media and Entertainment']","['Punjabi', 'Gujarati', 'Tamil']",yes,Fateh Varty,['Ramanathan-Ganesan'],Large Corporations.,Male
596,5.0,District Court,302,91.0,['Bangalore'],3,"['Constitutional', 'Tax', 'Constitutional']","['Hindi', 'Odia']",no,Gatik Chaudry,"['Choudhary', 'Sons']",Large Corporations.,Male
597,4.0,Supreme Court,132,137.0,['Hyderabad'],20,"['Intellectual Property', 'Real Estate', 'Intellectual Property']","['Punjabi', 'Bengali', 'Malayalam']",no,Gatik Dubey,"['Kaur', 'Barad', 'Borde']",Large Corporations.,Male
598,4.0,High Court,357,103.0,['Mumbai'],1,"['Criminal', 'Tax', 'Constitutional']","['Kannada', 'Marathi', 'Odia']",yes,Gatik Issac,"['Konda', 'Badami', 'Mangat']",Large Corporations.,Male
599,4.0,Specialized Court,370,103.0,['Bangalore'],14,"['Immigration', 'Tax', 'Intellectual Property']","['Punjabi', 'Hindi', 'Urdu']",yes,Gatik Kala,"['Borah', 'Ramanathan', 'Agrawal']",Small Businesses.,Male
600,5.0,High Court,227,86.0,['Hyderabad'],23,"['Family', 'Civil', 'Medical']","['Punjabi', 'Tamil']",yes,Gatik Maharaj,"['Magar', 'Mammen', 'Borde']",Large Corporations.,Male
601,1.0,Specialized Court,73,61.0,['Mumbai'],3,"['Corporate', 'Real Estate', 'Media and Entertainment']","['Punjabi', 'Telugu', 'Gujarati']",yes,Gatik Ratti,"['Chaudhari', 'Goel', 'Iyer']",Individuals.,Male
602,3.0,Supreme Court,205,90.0,['Bangalore'],21,"['Corporate', 'Environmental', 'Environmental']","['Assamese', 'Bengali', 'Kannada']",yes,Gatik Suresh,['Chauhan-Choudhary'],Individuals.,Male
603,,High Court,461,90.0,['Kolkata'],26,"['Consumer Protection', 'Media and Entertainment', 'Constitutional']","['Bengali', 'Assamese', 'Marathi']",no,Gokul Jain,['Shanker-Dalal'],Small Businesses.,Male
604,4.0,Specialized Court,155,102.0,['Delhi'],26,"['Labor', 'Real Estate', 'Intellectual Property']","['Punjabi', 'Marathi']",yes,Gokul Jhaveri,['Gopal Inc'],Small Businesses.,Male
605,,Supreme Court,121,90.0,['Mumbai'],5,"['Criminal', 'Criminal', 'Human Rights']","['Assamese', 'Tamil']",yes,Gokul Saha,"['Swamy', 'Vora', 'Kannan']",Large Corporations.,Male
606,4.0,Supreme Court,179,80.0,['Bangalore'],26,"['Constitutional', 'Intellectual Property', 'Human Rights']","['Gujarati', 'Odia']",yes,Gokul Sangha,"['Shroff', 'Bala', 'Raja']",Small Businesses.,Male
607,4.0,District Court,290,88.0,['Mumbai'],28,"['Consumer Protection', 'Labor', 'Banking and Finance']","['Kannada', 'Gujarati']",yes,Hansh Arya,['Upadhyay PLC'],Small Businesses.,Male
608,5.0,Specialized Court,171,97.0,['Chennai'],26,"['Family', 'Immigration', 'Real Estate']","['Kannada', 'Marathi']",no,Hansh Balay,"['Comar', 'Rana', 'Sharaf']",Small Businesses.,Male
609,4.0,High Court,232,80.0,['Chennai'],25,"['Civil', 'Intellectual Property', 'Family']","['Punjabi', 'Gujarati', 'Odia']",yes,Hansh Bawa,"['Kala', 'Jani', 'Anne']",Large Corporations.,Male
610,2.0,Supreme Court,265,97.0,['Kolkata'],5,"['Banking and Finance', 'Banking and Finance', 'Corporate']","['Kannada', 'Marathi', 'Odia']",no,Hansh Buch,['Baral Inc'],Large Corporations.,Male
611,1.0,High Court,478,106.0,['Bangalore'],10,"['Human Rights', 'Intellectual Property', 'Consumer Protection']","['Hindi', 'Odia', 'Tamil']",no,Hansh Chahal,"['Dua', 'Goda', 'Choudhury']",Individuals.,Male
612,1.0,Supreme Court,139,106.0,['Bangalore'],17,"['Human Rights', 'Family', 'Immigration']","['Bengali', 'Telugu', 'Odia']",yes,Hansh Iyer,['Ram Ltd'],Individuals.,Male
613,3.0,Supreme Court,234,103.0,['Hyderabad'],15,"['Constitutional', 'Family', 'Consumer Protection']","['Telugu', 'Bengali']",no,Hansh Jhaveri,['Gill LLC'],Small Businesses.,Male
614,4.0,District Court,177,114.0,['Kolkata'],27,"['Real Estate', 'Constitutional', 'Immigration']","['Bengali', 'Telugu', 'Malayalam']",no,Hansh Kala,['Thaker-Swaminathan'],Small Businesses.,Male
615,2.0,Supreme Court,133,108.0,['Kolkata'],16,"['Real Estate', 'Human Rights', 'Family']","['Assamese', 'Marathi', 'Odia']",no,Hansh Khalsa,['Mann Ltd'],Individuals.,Male
616,1.0,Supreme Court,411,62.0,['Delhi'],12,"['Civil', 'Civil', 'Immigration']","['Bengali', 'Marathi', 'Urdu']",no,Hansh Mane,['Srivastava Ltd'],Small Businesses.,Male
617,3.0,Supreme Court,109,72.0,['Hyderabad'],16,"['Human Rights', 'Intellectual Property', 'Real Estate']","['Tamil', 'Urdu', 'Malayalam']",no,Hansh Sachdev,"['Madan', 'Sons']",Individuals.,Male
618,5.0,Specialized Court,178,71.0,['Hyderabad'],20,"['Medical', 'Immigration', 'Civil']","['Gujarati', 'Urdu', 'Malayalam']",no,Hansh Sami,['Chadha-Buch'],Small Businesses.,Male
619,4.0,District Court,227,99.0,['Mumbai'],17,"['Banking and Finance', 'Consumer Protection', 'Media and Entertainment']","['Assamese', 'Gujarati', 'Malayalam']",yes,Hansh Sen,"['Kibe', 'Gole', 'Yogi']",Large Corporations.,Male
620,4.0,High Court,330,62.0,['Mumbai'],3,"['Media and Entertainment', 'Real Estate', 'Media and Entertainment']","['Hindi', 'Odia', 'Malayalam']",yes,Hansh Sharaf,['Saxena Inc'],Large Corporations.,Male
621,3.0,District Court,67,96.0,['Delhi'],11,"['Criminal', 'Real Estate', 'Tax']","['Assamese', 'Telugu']",yes,Hazel Basak,['Vora-Rege'],Large Corporations.,Female
622,2.0,District Court,329,82.0,['Delhi'],7,"['Constitutional', 'Intellectual Property', 'Immigration']","['Bengali', 'Kannada', 'Punjabi']",yes,Hazel Basu,"['Andra', 'Kaur', 'Seth']",Individuals.,Female
623,1.0,Supreme Court,434,96.0,['Chennai'],16,"['Family', 'Family', 'Immigration']","['Gujarati', 'Hindi']",yes,Hazel Bhatti,['Dhawan-Loke'],Large Corporations.,Female
624,3.0,Specialized Court,81,72.0,['Hyderabad'],20,"['Human Rights', 'Real Estate', 'Medical']","['Punjabi', 'Gujarati', 'Urdu']",yes,Hazel Chana,"['Dutt', 'Ranganathan', 'Date']",Large Corporations.,Female
625,3.0,District Court,158,111.0,['Mumbai'],24,"['Real Estate', 'Immigration', 'Human Rights']","['Telugu', 'Marathi', 'Odia']",no,Hazel Chand,"['Bhargava-Ch', 'ra']",Large Corporations.,Female
626,2.0,Specialized Court,131,120.0,['Delhi'],8,"['Tax', 'Real Estate', 'Medical']","['Kannada', 'Marathi', 'Hindi']",no,Hazel Dhawan,['Char-Gara'],Large Corporations.,Female
627,4.0,Specialized Court,163,78.0,['Bangalore'],29,"['Intellectual Property', 'Consumer Protection', 'Criminal']","['Marathi', 'Hindi']",no,Hazel Keer,['Kata-Viswanathan'],Small Businesses.,Female
628,1.0,Supreme Court,132,93.0,['Chennai'],29,"['Human Rights', 'Human Rights', 'Medical']","['Assamese', 'Tamil', 'Urdu']",yes,Hazel Lal,"['Choudhary-M', '']",Large Corporations.,Female
629,3.0,High Court,255,73.0,['Bangalore'],15,"['Corporate', 'Constitutional', 'Family']","['Telugu', 'Hindi', 'Urdu']",no,Hazel Mandal,"['Verma', 'Vig', 'Hora']",Large Corporations.,Female
630,4.0,District Court,291,110.0,['Chennai'],19,"['Civil', 'Immigration', 'Tax']","['Punjabi', 'Assamese', 'Odia']",yes,Hazel Sem,"['Ramakrishnan', 'Sons']",Large Corporations.,Female
631,,High Court,101,90.0,['Bangalore'],20,"['Labor', 'Labor', 'Consumer Protection']","['Kannada', 'Telugu', 'Hindi']",no,Hazel Thaker,['Sarkar-Arora'],Small Businesses.,Female
632,5.0,Supreme Court,214,97.0,['Chennai'],26,"['Media and Entertainment', 'Intellectual Property', 'Media and Entertainment']","['Telugu', 'Kannada', 'Punjabi']",no,Hazel Vala,"['G', 'hi-Kar']",Small Businesses.,Female
633,1.0,Supreme Court,469,86.0,['Bangalore'],17,"['Labor', 'Medical', 'Banking and Finance']","['Telugu', 'Bengali', 'Malayalam']",yes,Heer Agarwal,['Bhardwaj Group'],Large Corporations.,Male
634,5.0,High Court,210,86.0,['Chennai'],16,"['Consumer Protection', 'Human Rights', 'Intellectual Property']","['Kannada', 'Gujarati', 'Punjabi']",yes,Heer Bhatti,"['Doshi', 'Sons']",Large Corporations.,Male
635,3.0,High Court,200,114.0,['Mumbai'],19,"['Human Rights', 'Medical', 'Consumer Protection']","['Telugu', 'Assamese', 'Urdu']",no,Heer Borde,"['Arya', 'Bhargava', 'Ratta']",Large Corporations.,Male
636,,Specialized Court,226,90.0,['Bangalore'],20,"['Intellectual Property', 'Immigration', 'Consumer Protection']","['Bengali', 'Gujarati']",no,Heer Datta,['Walla Group'],Large Corporations.,Male
637,5.0,District Court,83,86.0,['Delhi'],22,"['Criminal', 'Family', 'Media and Entertainment']","['Telugu', 'Gujarati', 'Hindi']",yes,Heer Dixit,['Gaba-Krishnan'],Large Corporations.,Male
638,2.0,Specialized Court,213,90.0,['Bangalore'],7,"['Environmental', 'Criminal', 'Human Rights']","['Punjabi', 'Gujarati', 'Odia']",no,Heer Dube,"['Shere', 'M', 'al', 'Banik']",Large Corporations.,Male
639,5.0,District Court,301,101.0,['Delhi'],11,"['Civil', 'Criminal', 'Human Rights']","['Kannada', 'Bengali', 'Tamil']",no,Heer Gera,"['Savant', 'Sood', 'Ghosh']",Large Corporations.,Male
640,2.0,Supreme Court,353,74.0,['Bangalore'],8,"['Human Rights', 'Banking and Finance', 'Consumer Protection']","['Gujarati', 'Marathi', 'Urdu']",yes,Heer Mahajan,"['Dhawan-Ch', 'er']",Large Corporations.,Male
641,1.0,Specialized Court,218,78.0,['Bangalore'],14,"['Civil', 'Consumer Protection', 'Constitutional']","['Telugu', 'Tamil']",yes,Heer Roy,"['Master', 'Sons']",Large Corporations.,Male
642,5.0,District Court,249,88.0,['Chennai'],26,"['Media and Entertainment', 'Consumer Protection', 'Intellectual Property']","['Kannada', 'Bengali', 'Marathi']",no,Heer Shroff,['Setty-Kota'],Large Corporations.,Male
643,,Specialized Court,171,90.0,['Kolkata'],21,"['Environmental', 'Real Estate', 'Human Rights']","['Punjabi', 'Urdu', 'Malayalam']",no,Heer Vala,['Bumb LLC'],Large Corporations.,Male
644,1.0,High Court,192,101.0,['Mumbai'],9,"['Immigration', 'Criminal', 'Media and Entertainment']","['Telugu', 'Odia', 'Malayalam']",no,Himmat Amble,['Ahuja-Chaudry'],Individuals.,Male
645,1.0,Specialized Court,402,104.0,['Mumbai'],25,"['Medical', 'Immigration', 'Medical']","['Bengali', 'Hindi', 'Tamil']",no,Himmat Chauhan,['Krishnamurthy Ltd'],Small Businesses.,Male
646,,Supreme Court,483,90.0,['Hyderabad'],28,"['Family', 'Human Rights', 'Media and Entertainment']","['Kannada', 'Telugu', 'Malayalam']",no,Himmat Gala,['Das Ltd'],Small Businesses.,Male
647,5.0,High Court,152,107.0,['Hyderabad'],10,"['Corporate', 'Media and Entertainment', 'Labor']","['Gujarati', 'Odia', 'Malayalam']",no,Himmat Kalla,['Deshmukh-Shukla'],Large Corporations.,Male
648,1.0,High Court,120,99.0,['Kolkata'],2,"['Tax', 'Tax', 'Medical']","['Kannada', 'Marathi', 'Gujarati']",yes,Himmat Korpal,"['Bobal', 'Sons']",Individuals.,Male
649,3.0,High Court,91,77.0,['Chennai'],9,"['Corporate', 'Tax', 'Human Rights']","['Telugu', 'Marathi', 'Malayalam']",no,Himmat Lad,"['Jani', 'Biswas', 'Gera']",Individuals.,Male
650,3.0,District Court,362,98.0,['Delhi'],23,"['Labor', 'Medical', 'Human Rights']","['Telugu', 'Gujarati', 'Hindi']",no,Himmat Mandal,['Saxena PLC'],Individuals.,Male
651,5.0,District Court,317,94.0,['Mumbai'],29,"['Consumer Protection', 'Family', 'Constitutional']","['Telugu', 'Odia', 'Urdu']",no,Himmat Ramanathan,['Wason-Ghosh'],Individuals.,Male
652,3.0,High Court,78,88.0,['Mumbai'],24,"['Real Estate', 'Labor', 'Medical']","['Bengali', 'Marathi', 'Odia']",yes,Himmat Sani,['Tripathi-Ghosh'],Individuals.,Male
653,2.0,Specialized Court,458,93.0,['Hyderabad'],27,"['Tax', 'Corporate', 'Environmental']","['Telugu', 'Gujarati', 'Urdu']",yes,Himmat Sharaf,['Talwar-Bedi'],Small Businesses.,Male
654,1.0,High Court,274,99.0,['Chennai'],24,"['Banking and Finance', 'Human Rights', 'Family']","['Punjabi', 'Tamil', 'Urdu']",yes,Himmat Tripathi,"['Vyas', 'Venkataraman', 'Chada']",Large Corporations.,Male
655,3.0,Specialized Court,479,81.0,['Hyderabad'],28,"['Corporate', 'Intellectual Property', 'Intellectual Property']","['Marathi', 'Hindi', 'Urdu']",no,Hiran Bali,['Gill-Varma'],Large Corporations.,Male
656,4.0,High Court,470,99.0,['Delhi'],8,"['Immigration', 'Criminal', 'Intellectual Property']","['Kannada', 'Gujarati', 'Marathi']",yes,Hiran Bhatt,['Anne PLC'],Large Corporations.,Male
657,2.0,High Court,58,101.0,['Kolkata'],2,"['Consumer Protection', 'Constitutional', 'Criminal']","['Assamese', 'Bengali', 'Tamil']",yes,Hiran Dada,['Raja Group'],Large Corporations.,Male
658,5.0,Specialized Court,198,129.0,['Mumbai'],18,"['Banking and Finance', 'Consumer Protection', 'Constitutional']","['Tamil', 'Malayalam']",no,Hiran Dave,['Raman PLC'],Large Corporations.,Male
659,1.0,Specialized Court,385,88.0,['Mumbai'],3,"['Corporate', 'Tax', 'Human Rights']","['Punjabi', 'Marathi']",yes,Hiran Ramachandran,"['Desai', 'Balakrishnan', 'Gade']",Large Corporations.,Male
660,3.0,Specialized Court,184,71.0,['Chennai'],22,"['Constitutional', 'Real Estate', 'Family']","['Telugu', 'Marathi', 'Hindi']",no,Hiran Saxena,['Sachdeva Ltd'],Small Businesses.,Male
661,1.0,Specialized Court,367,62.0,['Delhi'],4,"['Labor', 'Constitutional', 'Human Rights']","['Assamese', 'Kannada', 'Hindi']",no,Hridaan Balakrishnan,"['Deshp', 'e', 'Bhatnagar', 'Madan']",Large Corporations.,Male
662,3.0,High Court,130,74.0,['Bangalore'],3,"['Labor', 'Civil', 'Immigration']","['Telugu', 'Bengali', 'Urdu']",no,Hridaan Basu,['Vaidya-Sarin'],Large Corporations.,Male
663,3.0,High Court,191,107.0,['Delhi'],6,"['Immigration', 'Consumer Protection', 'Intellectual Property']","['Bengali', 'Marathi', 'Urdu']",no,Hridaan Bhattacharyya,"['K', 'a-Agrawal']",Individuals.,Male
664,4.0,High Court,124,86.0,['Bangalore'],17,"['Human Rights', 'Constitutional', 'Medical']","['Gujarati', 'Odia']",yes,Hridaan Dada,['Raja-Issac'],Small Businesses.,Male
665,5.0,District Court,177,85.0,['Delhi'],8,"['Constitutional', 'Consumer Protection', 'Human Rights']","['Kannada', 'Bengali']",no,Hridaan Sen,"['Ganguly', 'Saha', 'Sarraf']",Small Businesses.,Male
666,,Specialized Court,95,90.0,['Kolkata'],17,"['Family', 'Criminal', 'Civil']","['Bengali', 'Urdu', 'Malayalam']",no,Hridaan Shetty,['Chad Group'],Large Corporations.,Male
667,4.0,Specialized Court,222,89.0,['Delhi'],5,"['Real Estate', 'Corporate', 'Consumer Protection']","['Gujarati', 'Hindi', 'Malayalam']",no,Hridaan Sur,"['Jani', 'Bajaj', 'Ben']",Small Businesses.,Male
668,2.0,District Court,419,97.0,['Bangalore'],7,"['Banking and Finance', 'Corporate', 'Medical']","['Telugu', 'Punjabi', 'Malayalam']",no,Hridaan Vora,['Krishna-Raval'],Large Corporations.,Male
669,4.0,District Court,89,85.0,['Delhi'],3,"['Consumer Protection', 'Labor', 'Real Estate']","['Kannada', 'Marathi', 'Tamil']",yes,Hrishita Babu,['Iyer-Andra'],Large Corporations.,Female
670,3.0,High Court,292,72.0,['Delhi'],21,"['Environmental', 'Intellectual Property', 'Human Rights']","['Punjabi', 'Hindi']",yes,Hrishita Iyengar,"['Saha', 'Kala', 'Buch']",Large Corporations.,Male
671,,High Court,276,90.0,['Delhi'],12,"['Medical', 'Banking and Finance', 'Consumer Protection']","['Assamese', 'Hindi', 'Tamil']",yes,Hrishita Kapur,"['Dhillon', 'Chawla', 'Tak']",Large Corporations.,Female
672,2.0,Specialized Court,200,113.0,['Bangalore'],29,"['Human Rights', 'Civil', 'Human Rights']","['Kannada', 'Tamil']",yes,Hrishita Ratta,['Kunda Inc'],Large Corporations.,Male
673,5.0,High Court,324,104.0,['Hyderabad'],5,"['Criminal', 'Labor', 'Media and Entertainment']","['Punjabi', 'Gujarati', 'Hindi']",no,Hrishita Ratti,['Walia-Chada'],Individuals.,Male
674,3.0,High Court,192,118.0,['Kolkata'],14,"['Labor', 'Family', 'Medical']","['Kannada', 'Odia', 'Malayalam']",no,Hrishita Raval,['Wali LLC'],Large Corporations.,Male
675,2.0,Supreme Court,384,77.0,['Hyderabad'],14,"['Media and Entertainment', 'Human Rights', 'Family']","['Urdu', 'Malayalam']",yes,Hrishita Shankar,"['M', 'er-Tank']",Individuals.,Female
676,,Specialized Court,434,90.0,['Delhi'],9,"['Media and Entertainment', 'Immigration', 'Labor']","['Telugu', 'Assamese', 'Malayalam']",no,Hrishita Sur,['Badal Ltd'],Large Corporations.,Female
677,,District Court,179,90.0,['Hyderabad'],12,"['Civil', 'Criminal', 'Human Rights']","['Kannada', 'Gujarati', 'Marathi']",no,Hrishita Suresh,['Bava-Bir'],Individuals.,Male
678,2.0,Specialized Court,391,104.0,['Kolkata'],8,"['Immigration', 'Civil', 'Environmental']","['Kannada', 'Bengali', 'Malayalam']",yes,Hrishita Toor,['Khurana Ltd'],Large Corporations.,Female
679,4.0,High Court,315,91.0,['Kolkata'],10,"['Environmental', 'Media and Entertainment', 'Human Rights']","['Punjabi', 'Tamil', 'Urdu']",yes,Hunar Acharya,['Kale-Mangat'],Small Businesses.,Male
680,3.0,District Court,254,99.0,['Hyderabad'],10,"['Corporate', 'Family', 'Civil']","['Telugu', 'Gujarati', 'Malayalam']",no,Hunar Balasubramanian,"['Wagle', 'Mahal', 'Yogi']",Small Businesses.,Male
681,5.0,High Court,68,88.0,['Hyderabad'],21,"['Labor', 'Criminal', 'Real Estate']","['Telugu', 'Hindi', 'Punjabi']",yes,Hunar Chadha,"['Khanna', 'Sons']",Large Corporations.,Male
682,4.0,High Court,120,77.0,['Delhi'],11,"['Constitutional', 'Intellectual Property', 'Labor']","['Assamese', 'Telugu', 'Tamil']",yes,Hunar Chaudry,"['Raval', 'Hari', 'Raja']",Small Businesses.,Male
683,,District Court,406,90.0,['Delhi'],19,"['Family', 'Consumer Protection', 'Environmental']","['Telugu', 'Marathi', 'Odia']",no,Hunar Dara,"['M', '', 'Bose', 'Iyengar']",Large Corporations.,Male
684,5.0,Specialized Court,313,83.0,['Hyderabad'],27,"['Civil', 'Consumer Protection', 'Family']","['Assamese', 'Tamil']",no,Hunar Kuruvilla,"['Roy', 'Chauhan', 'Chauhan']",Small Businesses.,Male
685,4.0,Supreme Court,379,57.0,['Chennai'],20,"['Media and Entertainment', 'Civil', 'Constitutional']","['Telugu', 'Gujarati', 'Odia']",yes,Hunar Lal,['Ganguly Inc'],Large Corporations.,Male
