,Lawyer Names,0,1,2,3,4,5,6,7,8,First_Name,Gender
518,Priyansh Kapoor,"Priyansh Kapoor has 3 years of experience in Criminal Law, Consumer Protection Law, and Intellectual Property Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 375.06807843475934 USD per hour,He takes 67.29254248132719 Avg Days for Disposal,"He speaks: Odia, Marathi and Punjabi","He practices at Banik Ltd, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Priyansh,Male
519,Priyansh Bajwa,"Priyansh Bajwa has 20 years of experience in Consumer Protection Law, Human Rights Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 221.516096915631 USD per hour,He takes 106.9920704576221 Avg Days for Disposal,"He speaks: Marathi, Odia and Urdu","He practices at Bhargava-Hari, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Priyansh,Male
520,Priyansh Raval,"Priyansh Raval has 6 years of experience in Family Law, Tax Law, and Banking and Finance Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 186.44879602336604 USD per hour,He takes 114.79369576845633 Avg Days for Disposal,"He speaks: Marathi, Punjabi and Urdu","He practices at Luthra-Char, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Priyansh,Male
521,Priyansh Wason,"Priyansh Wason has 11 years of experience in Constitutional Law, Civil Law, and Constitutional Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 434.0059239239257 USD per hour,He takes 58.914672274560026 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Tamil","He practices at Boase, Samra and Raju, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Priyansh,Male
522,Priyansh Din,"Priyansh Din has 8 years of experience in Tax Law, Consumer Protection Law, and Corporate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 107.29034543602626 USD per hour,He takes 123.09703469827008 Avg Days for Disposal,"He speaks: Tamil, Bengali and Punjabi","He practices at Saxena PLC, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Individuals.,Priyansh,Male
523,Priyansh Talwar,"Priyansh Talwar has 22 years of experience in Family Law, Civil Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 137.65721118976705 USD per hour,He takes 102.60910069175074 Avg Days for Disposal,"He speaks: Tamil, Marathi and Kannada","He practices at Yogi-Bassi, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Priyansh,Male
524,Priyansh Dara,"Priyansh Dara has 17 years of experience in Constitutional Law, Tax Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 132.55604814148927 USD per hour,He takes 89.38623697207396 Avg Days for Disposal,"He speaks: Hindi, Kannada and Marathi","He practices at Tandon LLC, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Priyansh,Male
525,Priyansh Sundaram,"Priyansh Sundaram has 13 years of experience in Media and Entertainment Law, Labor Law, and Real Estate Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 195.75299866117064 USD per hour,He takes 102.46816654799633 Avg Days for Disposal,"He speaks: Punjabi, Assamese and Tamil","He practices at Tella, Talwar and Sami, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Priyansh,Male
526,Tara Bains,"Tara Bains has 18 years of experience in Constitutional Law, Family Law, and Labor Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 243.42406588085115 USD per hour,He takes 96.4852907130051 Avg Days for Disposal,"He speaks: Assamese, Urdu and Kannada","He practices at Khatri-D’Alia, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Tara,Female
527,Tara Sood,"Tara Sood has 28 years of experience in Constitutional Law, Consumer Protection Law, and Criminal Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 192.17112007353654 USD per hour,He takes 102.79747959619787 Avg Days for Disposal,"He speaks: Gujarati, Tamil and Assamese","He practices at Chakrabarti, Kaur and Brar, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Tara,Female
528,Tara Lal,"Tara Lal has 28 years of experience in Real Estate Law, Environmental Law, and Civil Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Specialized Court,He charges 144.62428005583763 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Punjabi, Punjabi and Hindi","He practices at Ben and Sons, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Tara,Female
529,Tara Kaul,"Tara Kaul has 12 years of experience in Human Rights Law, Consumer Protection Law, and Constitutional Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 440.0848458621797 USD per hour,He takes 108.74565630276479 Avg Days for Disposal,"He speaks: Telugu, Hindi and Malayalam","He practices at Sani Ltd, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Tara,Female
530,Tara Loke,"Tara Loke has 15 years of experience in Civil Law, Medical Law, and Consumer Protection Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 452.34479124777164 USD per hour,He takes 94.99845802485032 Avg Days for Disposal,"He speaks: Marathi, Malayalam and Odia","He practices at Bakshi, Lata and Bassi, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Tara,Female
531,Tara Dara,"Tara Dara has 28 years of experience in Constitutional Law, Civil Law, and Civil Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 190.93192281663582 USD per hour,He takes 68.89059834761396 Avg Days for Disposal,"He speaks: Gujarati, Urdu and Marathi","He practices at Saini PLC, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Tara,Female
532,Tara Ganesh,"Tara Ganesh has 1 years of experience in Medical Law, Environmental Law, and Medical Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 350.3080233726782 USD per hour,He takes 91.61975881087844 Avg Days for Disposal,"He speaks: Malayalam, Assamese and Malayalam","He practices at Chaudhary, Venkataraman and Lala, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Individuals.,Tara,Female
533,Tara Mander,"Tara Mander has 15 years of experience in Real Estate Law, Civil Law, and Medical Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 451.31909513297575 USD per hour,He takes 91.28392055916788 Avg Days for Disposal,"He speaks: Assamese, Kannada and Assamese","He practices at Choudhury Group, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Individuals.,Tara,Female
534,Tara Mani,"Tara Mani has 5 years of experience in Environmental Law, Immigration Law, and Labor Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 417.3025333382601 USD per hour,He takes 140.6607437862397 Avg Days for Disposal,"He speaks: Bengali, Gujarati and Assamese","He practices at Kadakia-Sidhu, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Individuals.,Tara,Female
535,Tara Bath,"Tara Bath has 8 years of experience in Medical Law, Real Estate Law, and Criminal Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 288.4252500329317 USD per hour,He takes 73.98416134442182 Avg Days for Disposal,"He speaks: Bengali, Tamil and Tamil","He practices at Jaggi, Dhar and Rajan, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Tara,Female
536,Tara Suri,"Tara Suri has 19 years of experience in Banking and Finance Law, Tax Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 120.34914727677736 USD per hour,He takes 80.4858792477403 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Odia","He practices at Goel and Sons, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Individuals.,Tara,Female
537,Tara Agarwal,"Tara Agarwal has 25 years of experience in Labor Law, Real Estate Law, and Real Estate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 163.50041040377846 USD per hour,He takes 85.97446801293928 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Hindi","He practices at Singhal, Setty and Wagle, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Tara,Female
538,Gokul Sangha,"Gokul Sangha has 26 years of experience in Constitutional Law, Intellectual Property Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 179.26596269468044 USD per hour,He takes 79.24227148916293 Avg Days for Disposal,"He speaks: Gujarati, Odia and Gujarati","He practices at Shroff, Bala and Raja, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Gokul,Male
539,Gokul Jain,"Gokul Jain has 26 years of experience in Consumer Protection Law, Media and Entertainment Law, and Constitutional Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 461.2165351812249 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Bengali, Assamese and Marathi","He practices at Shanker-Dalal, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Gokul,Male
540,Gokul Jhaveri,"Gokul Jhaveri has 26 years of experience in Labor Law, Real Estate Law, and Intellectual Property Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 155.12406441630657 USD per hour,He takes 101.72245859190949 Avg Days for Disposal,"He speaks: Punjabi, Marathi and Marathi","He practices at Gopal Inc, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Gokul,Male
541,Gokul Saha,"Gokul Saha has 5 years of experience in Criminal Law, Criminal Law, and Human Rights Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 120.5433264196826 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Assamese, Tamil and Tamil","He practices at Swamy, Vora and Kannan, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Gokul,Male
542,Ranbir Sharaf,"Ranbir Sharaf has 26 years of experience in Constitutional Law, Consumer Protection Law, and Environmental Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 254.03730378092064 USD per hour,He takes 70.17666320233424 Avg Days for Disposal,"He speaks: Gujarati, Punjabi and Hindi","He practices at Amble LLC, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Ranbir,Male
543,Ranbir Balakrishnan,"Ranbir Balakrishnan has 23 years of experience in Real Estate Law, Criminal Law, and Corporate Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 270.70209353117747 USD per hour,He takes 102.1992060909689 Avg Days for Disposal,"He speaks: Hindi, Telugu and Malayalam","He practices at Mane LLC, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Individuals.,Ranbir,Male
544,Ranbir Samra,"Ranbir Samra has 1 years of experience in Civil Law, Human Rights Law, and Corporate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 475.5986226538074 USD per hour,He takes 56.3712609823663 Avg Days for Disposal,"He speaks: Telugu, Kannada and Malayalam","He practices at Sane, Garg and Khalsa, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Ranbir,Male
545,Ranbir Manne,"Ranbir Manne has 24 years of experience in Tax Law, Banking and Finance Law, and Environmental Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 342.4387647661587 USD per hour,He takes 78.95904519797229 Avg Days for Disposal,"He speaks: Punjabi, Tamil and Punjabi","He practices at Chaudhari, Varghese and Bal, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Ranbir,Male
546,Ranbir Krishnan,"Ranbir Krishnan has 25 years of experience in Labor Law, Immigration Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 261.1298732417473 USD per hour,He takes 80.39768314748082 Avg Days for Disposal,"He speaks: Telugu, Marathi and Odia","He practices at Singh, Chaudhari and Jaggi, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Individuals.,Ranbir,Male
547,Ranbir Bumb,"Ranbir Bumb has 9 years of experience in Medical Law, Medical Law, and Family Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 144.6674366884261 USD per hour,He takes 100.00867721143862 Avg Days for Disposal,"He speaks: Bengali, Urdu and Assamese","He practices at Ganesan, Hora and Ganesan, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Ranbir,Male
548,Ranbir Contractor,"Ranbir Contractor has 2 years of experience in Civil Law, Medical Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 360.7802339366037 USD per hour,He takes 86.93466410031527 Avg Days for Disposal,"He speaks: Marathi, Tamil and Assamese","He practices at Dasgupta LLC, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Ranbir,Male
549,Ranbir Dhingra,"Ranbir Dhingra has 21 years of experience in Medical Law, Labor Law, and Real Estate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 411.4098900213107 USD per hour,He takes 72.33875242126066 Avg Days for Disposal,"He speaks: Gujarati, Odia and Odia","He practices at Vyas-Ramachandran, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Ranbir,Male
550,Ranbir Banerjee,"Ranbir Banerjee has 15 years of experience in Labor Law, Medical Law, and Environmental Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 397.635166293145 USD per hour,He takes 88.75953382472402 Avg Days for Disposal,"He speaks: Assamese, Malayalam and Punjabi","He practices at Vig PLC, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Ranbir,Male
551,Ranbir Singh,"Ranbir Singh has 26 years of experience in Family Law, Real Estate Law, and Family Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 422.7701655207408 USD per hour,He takes 100.03627815401286 Avg Days for Disposal,"He speaks: Hindi, Telugu and Malayalam","He practices at Dugar-Joshi, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Ranbir,Male
552,Damini Virk,"Damini Virk has 21 years of experience in Environmental Law, Consumer Protection Law, and Labor Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 495.1759752978732 USD per hour,He takes 90.3163912177588 Avg Days for Disposal,"He speaks: Malayalam, Hindi and Marathi","He practices at Sarkar Ltd, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Damini,Female
553,Damini Bhatti,"Damini Bhatti has 21 years of experience in Intellectual Property Law, Medical Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 283.2457653679205 USD per hour,He takes 96.843742327928 Avg Days for Disposal,"He speaks: Hindi, Malayalam and Malayalam","He practices at Grewal Group, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Damini,Female
554,Damini Krishna,"Damini Krishna has 2 years of experience in Banking and Finance Law, Tax Law, and Intellectual Property Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 496.258763176731 USD per hour,He takes 97.11950228350189 Avg Days for Disposal,"He speaks: Marathi, Tamil and Malayalam","He practices at Chowdhury, Karpe and Tailor, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Damini,Female
555,Damini Badal,"Damini Badal has 8 years of experience in Tax Law, Labor Law, and Consumer Protection Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 275.6486631640598 USD per hour,He takes 96.12203869167534 Avg Days for Disposal,"He speaks: Punjabi, Assamese and Telugu","He practices at Sehgal PLC, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Damini,Female
556,Damini Yohannan,"Damini Yohannan has 13 years of experience in Human Rights Law, Labor Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 289.36983989875614 USD per hour,He takes 91.17011127718287 Avg Days for Disposal,"He speaks: Marathi, Malayalam and Telugu","He practices at Bahri LLC, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Damini,Female
557,Damini Mandal,"Damini Mandal has 9 years of experience in Corporate Law, Banking and Finance Law, and Real Estate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 273.72527632295856 USD per hour,He takes 79.02214037376172 Avg Days for Disposal,"He speaks: Urdu, Bengali and Odia","He practices at Jhaveri-Sodhi, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Damini,Female
558,Damini Sinha,"Damini Sinha has 1 years of experience in Human Rights Law, Immigration Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 215.22633156276018 USD per hour,He takes 85.50727443678784 Avg Days for Disposal,"He speaks: Marathi, Gujarati and Tamil","He practices at Atwal Group, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Damini,Female
559,Damini Shanker,"Damini Shanker has 7 years of experience in Banking and Finance Law, Civil Law, and Civil Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 386.2510902898641 USD per hour,He takes 93.2657730163075 Avg Days for Disposal,"He speaks: Tamil, Telugu and Odia","He practices at Bhattacharyya Group, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Individuals.,Damini,Female
560,Damini Ramakrishnan,"Damini Ramakrishnan has 4 years of experience in Intellectual Property Law, Environmental Law, and Civil Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 220.1112272454809 USD per hour,He takes 90.03347433243603 Avg Days for Disposal,"He speaks: Malayalam, Marathi and Tamil","He practices at Sekhon, Raja and Goyal, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Damini,Female
561,Damini Dora,"Damini Dora has 22 years of experience in Consumer Protection Law, Media and Entertainment Law, and Medical Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 465.898295679197 USD per hour,He takes 102.74376796569926 Avg Days for Disposal,"He speaks: Tamil, Gujarati and Telugu","He practices at Ramanathan PLC, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Damini,Female
562,Damini Raju,"Damini Raju has 2 years of experience in Human Rights Law, Tax Law, and Corporate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 119.18719044631314 USD per hour,He takes 89.7904015728589 Avg Days for Disposal,"He speaks: Gujarati, Tamil and Marathi","He practices at Bumb-Buch, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Damini,Female
563,Damini Sarkar,"Damini Sarkar has 14 years of experience in Human Rights Law, Human Rights Law, and Civil Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 441.58851072150895 USD per hour,He takes 99.65503129533737 Avg Days for Disposal,"He speaks: Tamil, Hindi and Marathi","He practices at Dubey-Bath, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Damini,Female
564,Damini Bhargava,"Damini Bhargava has 23 years of experience in Intellectual Property Law, Labor Law, and Family Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 158.67780208522757 USD per hour,He takes 92.71880922517576 Avg Days for Disposal,"He speaks: Malayalam, Urdu and Hindi","He practices at Srinivasan, Setty and Kale, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Individuals.,Damini,Female
565,Damini Golla,"Damini Golla has 22 years of experience in Intellectual Property Law, Environmental Law, and Banking and Finance Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 431.3097742592151 USD per hour,He takes 112.17181839149227 Avg Days for Disposal,"He speaks: Bengali, Malayalam and Gujarati","He practices at Dani-Sura, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Damini,Female
566,Akarsh Karnik,"Akarsh Karnik has 20 years of experience in Human Rights Law, Environmental Law, and Criminal Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 209.756869761311 USD per hour,He takes 88.99083802629698 Avg Days for Disposal,"He speaks: Telugu, Urdu and Punjabi","He practices at Tara LLC, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Akarsh,Male
567,Akarsh Batta,"Akarsh Batta has 29 years of experience in Medical Law, Constitutional Law, and Immigration Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 239.79840887125664 USD per hour,He takes 88.60688247910421 Avg Days for Disposal,"He speaks: Gujarati, Marathi and Punjabi","He practices at Dutta, Ramaswamy and Chana, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Akarsh,Male
568,Akarsh Goda,"Akarsh Goda has 17 years of experience in Constitutional Law, Immigration Law, and Criminal Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 452.7883277448416 USD per hour,He takes 84.09843155588175 Avg Days for Disposal,"He speaks: Gujarati, Odia and Kannada","He practices at Karpe, Mandal and Choudhary, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Akarsh,Male
569,Akarsh Virk,"Akarsh Virk has 12 years of experience in Environmental Law, Environmental Law, and Criminal Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 453.53594745848505 USD per hour,He takes 110.464893662563 Avg Days for Disposal,"He speaks: Tamil, Tamil and Marathi","He practices at Vaidya-Sen, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Individuals.,Akarsh,Male
570,Akarsh Bansal,"Akarsh Bansal has 19 years of experience in Consumer Protection Law, Intellectual Property Law, and Corporate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 387.1919098140955 USD per hour,He takes 104.43753887929948 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Kannada","He practices at Vyas, Bhatia and Samra, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Akarsh,Male
571,Akarsh Lalla,"Akarsh Lalla has 13 years of experience in Banking and Finance Law, Labor Law, and Family Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 211.02852138868994 USD per hour,He takes 79.00610942837197 Avg Days for Disposal,"He speaks: Punjabi, Telugu and Kannada","He practices at Srinivasan and Sons, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Akarsh,Male
572,Akarsh Kannan,"Akarsh Kannan has 2 years of experience in Family Law, Tax Law, and Constitutional Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 255.75368882879496 USD per hour,He takes 91.2436777975806 Avg Days for Disposal,"He speaks: Tamil, Tamil and Punjabi","He practices at Talwar LLC, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Akarsh,Male
573,Akarsh Sidhu,"Akarsh Sidhu has 24 years of experience in Human Rights Law, Environmental Law, and Intellectual Property Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 367.72615158711386 USD per hour,He takes 104.2976438149403 Avg Days for Disposal,"He speaks: Tamil, Urdu and Tamil","He practices at Anne-Aggarwal, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Akarsh,Male
574,Akarsh Raj,"Akarsh Raj has 5 years of experience in Family Law, Environmental Law, and Civil Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 309.65918076075127 USD per hour,He takes 70.60316624392544 Avg Days for Disposal,"He speaks: Assamese, Punjabi and Tamil","He practices at Vasa, Subramaniam and Butala, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Akarsh,Male
575,Akarsh Bal,"Akarsh Bal has 13 years of experience in Consumer Protection Law, Real Estate Law, and Real Estate Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 455.56664350845347 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Telugu, Bengali and Kannada","He practices at Kakar-Ahluwalia, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Individuals.,Akarsh,Male
576,Akarsh Kala,"Akarsh Kala has 15 years of experience in Medical Law, Consumer Protection Law, and Labor Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 163.31661590410926 USD per hour,He takes 110.28543818889226 Avg Days for Disposal,"He speaks: Gujarati, Punjabi and Tamil","He practices at Khanna, Lala and Sekhon, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Akarsh,Male
577,Akarsh Gandhi,"Akarsh Gandhi has 2 years of experience in Immigration Law, Constitutional Law, and Labor Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 140.5114441656698 USD per hour,He takes 80.62748072348276 Avg Days for Disposal,"He speaks: Punjabi, Kannada and Urdu","He practices at Brar-Varkey, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Akarsh,Male
578,Akarsh Bera,"Akarsh Bera has 25 years of experience in Media and Entertainment Law, Constitutional Law, and Labor Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 335.82064498877077 USD per hour,He takes 96.68516860622886 Avg Days for Disposal,"He speaks: Assamese, Assamese and Hindi","He practices at Buch, Batra and Vora, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Akarsh,Male
579,Akarsh Mannan,"Akarsh Mannan has 20 years of experience in Consumer Protection Law, Constitutional Law, and Medical Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 453.8385725351782 USD per hour,He takes 76.88701094978775 Avg Days for Disposal,"He speaks: Telugu, Punjabi and Marathi","He practices at Chanda-Gara, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Akarsh,Male
580,Kiara Doctor,"Kiara Doctor has 7 years of experience in Corporate Law, Consumer Protection Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 378.15811209390563 USD per hour,He takes 93.71220821460157 Avg Days for Disposal,"He speaks: Bengali, Gujarati and Hindi","He practices at Dalal, Rau and Bala, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Kiara,Female
581,Kiara Mannan,"Kiara Mannan has 23 years of experience in Corporate Law, Banking and Finance Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 407.59830157905003 USD per hour,He takes 86.53410694738652 Avg Days for Disposal,"He speaks: Urdu, Bengali and Odia","He practices at Deo PLC, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Kiara,Female
582,Kiara Yogi,"Kiara Yogi has 29 years of experience in Real Estate Law, Corporate Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 411.4870580831151 USD per hour,He takes 99.01099522718387 Avg Days for Disposal,"He speaks: Telugu, Kannada and Gujarati","He practices at Ravel, Anand and Sarin, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Individuals.,Kiara,Female
