,Lawyer Names,0,1,2,3,4,5,6,7,8,Gender
439,Dhruv Kurian,"Dhruv Kurian has 27 years of experience in Intellectual Property Law, Banking and Finance Law, and Banking and Finance Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 307.35388510652916 USD per hour,He takes 91.17658869125505 Avg Days for Disposal,"He speaks: Punjabi, Malayalam and Gujarati","He practices at Devi, Ganesan and Vig, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
440,Dhruv Mani,"Dhruv Mani has 11 years of experience in Banking and Finance Law, Media and Entertainment Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 319.23773406320845 USD per hour,He takes 63.64696950897747 Avg Days for Disposal,"He speaks: Marathi, Tamil and Tamil","He practices at Hari Group, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
441,Dhruv Raman,"Dhruv Raman has 18 years of experience in Civil Law, Medical Law, and Media and Entertainment Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 239.15092513797453 USD per hour,He takes 74.78753672809547 Avg Days for Disposal,"He speaks: Odia, Hindi and Assamese","He practices at Chokshi-Char, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
442,Dhruv Sengupta,"Dhruv Sengupta has 4 years of experience in Family Law, Corporate Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 476.2881046566329 USD per hour,He takes 70.68592074520409 Avg Days for Disposal,"He speaks: Tamil, Hindi and Punjabi","He practices at Kade, Raj and Yadav, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Male
443,Dhruv Shetty,"Dhruv Shetty has 29 years of experience in Intellectual Property Law, Real Estate Law, and Media and Entertainment Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 318.28220123106956 USD per hour,He takes 72.3869655641978 Avg Days for Disposal,"He speaks: Assamese, Hindi and Punjabi","He practices at D’Alia, Sankaran and Ravi, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Male
444,Dhruv Solanki,"Dhruv Solanki has 16 years of experience in Tax Law, Intellectual Property Law, and Real Estate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 75.43206085854081 USD per hour,He takes 84.29316143750474 Avg Days for Disposal,"He speaks: Bengali, Tamil and Telugu","He practices at Bhasin and Sons, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Male
445,Dhruv Wason,"Dhruv Wason has 25 years of experience in Constitutional Law, Labor Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 368.9445345555446 USD per hour,He takes 97.01535155788328 Avg Days for Disposal,"He speaks: Urdu, Tamil and Assamese","He practices at Randhawa Group, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Male
446,Dhruv Yadav,"Dhruv Yadav has 28 years of experience in Tax Law, Family Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 126.8457170015016 USD per hour,He takes 119.15293321683296 Avg Days for Disposal,"He speaks: Marathi, Assamese and Kannada","He practices at Lad, Ramakrishnan and Wable, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
447,Dhruv Yohannan,"Dhruv Yohannan has 7 years of experience in Media and Entertainment Law, Human Rights Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 446.5838955263413 USD per hour,He takes 73.67383146490732 Avg Days for Disposal,"He speaks: Assamese, Marathi and Telugu","He practices at Reddy and Sons, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Male
448,Dishani Basu,"Dishani Basu has 26 years of experience in Civil Law, Criminal Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 252.51090778751114 USD per hour,He takes 89.1324508143361 Avg Days for Disposal,"He speaks: Bengali, Hindi and Hindi","He practices at Acharya-Chacko, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
449,Dishani Jhaveri,"Dishani Jhaveri has 17 years of experience in Human Rights Law, Consumer Protection Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 75.70972370449849 USD per hour,He takes 79.81529480305302 Avg Days for Disposal,"He speaks: Hindi, Punjabi and Urdu","He practices at Setty, Rau and Dalal, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
450,Dishani Kalita,"Dishani Kalita has 19 years of experience in Media and Entertainment Law, Environmental Law, and Family Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 338.45272579431554 USD per hour,He takes 82.18547173153357 Avg Days for Disposal,"He speaks: Odia, Hindi and Hindi","He practices at Majumdar and Sons, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
451,Dishani Khanna,"Dishani Khanna has 19 years of experience in Immigration Law, Family Law, and Constitutional Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 175.4923668174342 USD per hour,He takes 107.4386050228176 Avg Days for Disposal,"He speaks: Bengali, Marathi and Tamil","He practices at Behl-Bhatti, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
452,Dishani Krishnan,"Dishani Krishnan has 17 years of experience in Tax Law, Environmental Law, and Media and Entertainment Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 194.08152534279736 USD per hour,He takes 102.15040857759175 Avg Days for Disposal,"He speaks: Punjabi, Gujarati and Malayalam","He practices at Hayre, Golla and Maharaj, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
453,Dishani Zacharia,"Dishani Zacharia has 2 years of experience in Civil Law, Consumer Protection Law, and Real Estate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 359.6529466428576 USD per hour,He takes 82.71481883137429 Avg Days for Disposal,"He speaks: Tamil, Telugu and Marathi","He practices at Bhalla and Sons, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Female
454,Divij Banerjee,"Divij Banerjee has 13 years of experience in Family Law, Banking and Finance Law, and Medical Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 267.3798103369862 USD per hour,He takes 89.58923519394384 Avg Days for Disposal,"He speaks: Urdu, Hindi and Gujarati","He practices at Dutt Group, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
455,Divij Hayer,"Divij Hayer has 14 years of experience in Medical Law, Civil Law, and Criminal Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 474.84265366866407 USD per hour,He takes 91.19872895610057 Avg Days for Disposal,"He speaks: Assamese, Punjabi and Assamese","He practices at Basu LLC, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
456,Divij Kale,"Divij Kale has 17 years of experience in Constitutional Law, Criminal Law, and Real Estate Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 370.6706332842769 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Kannada, Punjabi and Kannada","He practices at Shan-Arya, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Male
457,Divij Roy,"Divij Roy has 24 years of experience in Corporate Law, Family Law, and Real Estate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 130.99982747480908 USD per hour,He takes 101.69742961132575 Avg Days for Disposal,"He speaks: Assamese, Marathi and Odia","He practices at Sundaram Ltd, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Male
458,Divij Sethi,"Divij Sethi has 3 years of experience in Corporate Law, Immigration Law, and Intellectual Property Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 284.0813314550419 USD per hour,He takes 75.32965464716148 Avg Days for Disposal,"He speaks: Hindi, Hindi and Urdu","He practices at Suri-Mangal, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
459,Divij Thakur,"Divij Thakur has 22 years of experience in Medical Law, Environmental Law, and Corporate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 160.69988313805783 USD per hour,He takes 83.67964788344337 Avg Days for Disposal,"He speaks: Malayalam, Urdu and Marathi","He practices at Kothari-Chahal, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
460,Divij Varughese,"Divij Varughese has 24 years of experience in Consumer Protection Law, Labor Law, and Immigration Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 69.74648976593463 USD per hour,He takes 114.98404820529791 Avg Days for Disposal,"He speaks: Hindi, Marathi and Hindi","He practices at Master, Vig and Dhawan, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
461,Divit Amble,"Divit Amble has 24 years of experience in Constitutional Law, Tax Law, and Media and Entertainment Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 187.4360743442381 USD per hour,He takes 89.14817106170584 Avg Days for Disposal,"He speaks: Odia, Urdu and Urdu","He practices at Gupta-Mannan, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
462,Divit Bava,"Divit Bava has 26 years of experience in Immigration Law, Intellectual Property Law, and Tax Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 313.468672241766 USD per hour,He takes 104.15396664409418 Avg Days for Disposal,"He speaks: Tamil, Bengali and Malayalam","He practices at Khanna, Bava and Chaudry, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Male
463,Divit Borra,"Divit Borra has 26 years of experience in Immigration Law, Corporate Law, and Banking and Finance Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 396.69701125655166 USD per hour,He takes 100.6138773296193 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Gujarati","He practices at Singh Group, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
464,Divit Buch,"Divit Buch has 6 years of experience in Intellectual Property Law, Labor Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 241.05767323368002 USD per hour,He takes 84.68690417236817 Avg Days for Disposal,"He speaks: Malayalam, Kannada and Tamil","He practices at Bawa-Vasa, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
465,Divit Kapoor,"Divit Kapoor has 11 years of experience in Environmental Law, Banking and Finance Law, and Real Estate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 90.34350405605555 USD per hour,He takes 83.17201642775761 Avg Days for Disposal,"He speaks: Malayalam, Tamil and Tamil","He practices at Bora, Malhotra and Manne, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
466,Divit Kulkarni,"Divit Kulkarni has 13 years of experience in Tax Law, Constitutional Law, and Human Rights Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 306.64062852192677 USD per hour,He takes 93.03575055898042 Avg Days for Disposal,"He speaks: Odia, Urdu and Odia","He practices at Sinha, Bedi and Raja, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Male
467,Divit Maharaj,"Divit Maharaj has 24 years of experience in Tax Law, Environmental Law, and Civil Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 480.1634599829199 USD per hour,He takes 85.12713110252182 Avg Days for Disposal,"He speaks: Tamil, Bengali and Bengali","He practices at Kunda, Sheth and Bakshi, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Male
468,Divit Mannan,"Divit Mannan has 2 years of experience in Immigration Law, Civil Law, and Constitutional Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 65.04193989194974 USD per hour,He takes 47.249548360242265 Avg Days for Disposal,"He speaks: Telugu, Bengali and Punjabi","He practices at Dhingra, Deep and Rau, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
469,Divit Manne,"Divit Manne has 16 years of experience in Medical Law, Intellectual Property Law, and Intellectual Property Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 269.1871449456101 USD per hour,He takes 88.4346232584287 Avg Days for Disposal,"He speaks: Marathi, Tamil and Urdu","He practices at Koshy LLC, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Individuals.,Male
470,Divit Sampath,"Divit Sampath has 18 years of experience in Media and Entertainment Law, Intellectual Property Law, and Civil Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 55.85459604164272 USD per hour,He takes 110.18902511757473 Avg Days for Disposal,"He speaks: Bengali, Bengali and Kannada","He practices at Krishnan and Sons, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
471,Divit Solanki,"Divit Solanki has 13 years of experience in Banking and Finance Law, Immigration Law, and Family Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 165.96304168513086 USD per hour,He takes 80.56168990728956 Avg Days for Disposal,"He speaks: Urdu, Kannada and Bengali","He practices at Saran Inc, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Individuals.,Male
472,Divyansh Desai,"Divyansh Desai has 21 years of experience in Human Rights Law, Banking and Finance Law, and Real Estate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 235.37594687551865 USD per hour,He takes 86.91349509484242 Avg Days for Disposal,"He speaks: Bengali, Assamese and Tamil","He practices at Bhagat, Mall and Kalla, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
473,Divyansh Devan,"Divyansh Devan has 27 years of experience in Immigration Law, Environmental Law, and Environmental Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 413.365071043359 USD per hour,He takes 84.57557835941182 Avg Days for Disposal,"He speaks: Marathi, Assamese and Gujarati","He practices at Sinha-Chandran, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
474,Divyansh Kashyap,"Divyansh Kashyap has 11 years of experience in Civil Law, Labor Law, and Labor Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 150.39050830041012 USD per hour,He takes 91.36972092917024 Avg Days for Disposal,"He speaks: Assamese, Marathi and Hindi","He practices at Bhardwaj Group, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
475,Divyansh Lala,"Divyansh Lala has 6 years of experience in Consumer Protection Law, Consumer Protection Law, and Media and Entertainment Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 465.0384989676131 USD per hour,He takes 74.73622834179936 Avg Days for Disposal,"He speaks: Kannada, Kannada and Kannada","He practices at Halder-Dara, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
476,Divyansh Sekhon,"Divyansh Sekhon has 24 years of experience in Human Rights Law, Intellectual Property Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 236.05959501957204 USD per hour,He takes 64.26437522042806 Avg Days for Disposal,"He speaks: Odia, Punjabi and Bengali","He practices at Rao-Dayal, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
477,Divyansh Sule,"Divyansh Sule has 16 years of experience in Family Law, Media and Entertainment Law, and Real Estate Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 271.4972824793601 USD per hour,He takes 85.67765954233323 Avg Days for Disposal,"He speaks: Malayalam, Hindi and Tamil","He practices at Chaudhuri Group, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
478,Divyansh Tripathi,"Divyansh Tripathi has 27 years of experience in Constitutional Law, Labor Law, and Criminal Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 276.9185573568642 USD per hour,He takes 98.22100387060756 Avg Days for Disposal,"He speaks: Marathi, Hindi and Punjabi","He practices at Kurian, Brar and Chakraborty, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
479,Diya Arya,"Diya Arya has 14 years of experience in Civil Law, Constitutional Law, and Immigration Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 282.9334227790853 USD per hour,He takes 82.5871496539963 Avg Days for Disposal,"He speaks: Malayalam, Bengali and Kannada","He practices at Sankar-Rattan, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
480,Diya Bassi,"Diya Bassi has 3 years of experience in Immigration Law, Family Law, and Tax Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 123.82861471940083 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Telugu, Telugu and Assamese","He practices at Guha, Chowdhury and Rout, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Female
481,Diya Choudhry,"Diya Choudhry has 1 years of experience in Immigration Law, Immigration Law, and Medical Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 152.9018381230715 USD per hour,He takes 64.25950127533966 Avg Days for Disposal,"He speaks: Odia, Bengali and Kannada","He practices at Deep and Sons, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
482,Diya Dar,"Diya Dar has 16 years of experience in Real Estate Law, Labor Law, and Intellectual Property Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 152.6451700560733 USD per hour,He takes 125.53930951217245 Avg Days for Disposal,"He speaks: Odia, Kannada and Odia","He practices at Handa, Karpe and Randhawa, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
483,Diya Dhar,"Diya Dhar has 25 years of experience in Environmental Law, Banking and Finance Law, and Intellectual Property Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 194.25345096241605 USD per hour,He takes 98.38085755416728 Avg Days for Disposal,"He speaks: Assamese, Punjabi and Telugu","He practices at Toor-Chad, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
484,Diya Korpal,"Diya Korpal has 29 years of experience in Real Estate Law, Environmental Law, and Tax Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 96.52772148351869 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Urdu, Assamese and Assamese","He practices at Bath-Iyer, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
485,Diya Sule,"Diya Sule has 23 years of experience in Constitutional Law, Immigration Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 261.8176762921718 USD per hour,He takes 97.74216059379569 Avg Days for Disposal,"He speaks: Hindi, Tamil and Bengali","He practices at Kadakia-Tara, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Female
486,Diya Venkatesh,"Diya Venkatesh has 3 years of experience in Constitutional Law, Family Law, and Medical Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 311.4358639842166 USD per hour,He takes 111.54552051365631 Avg Days for Disposal,"He speaks: Marathi, Marathi and Odia","He practices at Bakshi PLC, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
487,Diya Verma,"Diya Verma has 14 years of experience in Consumer Protection Law, Labor Law, and Consumer Protection Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 251.2995919997845 USD per hour,He takes 83.51548221285688 Avg Days for Disposal,"He speaks: Hindi, Assamese and Hindi","He practices at Gola-Rama, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
488,Diya Yogi,"Diya Yogi has 16 years of experience in Intellectual Property Law, Consumer Protection Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 177.20031224352158 USD per hour,He takes 88.76111136973064 Avg Days for Disposal,"He speaks: Bengali, Tamil and Hindi","He practices at Ravel-Gulati, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Female
489,Drishya Bajaj,"Drishya Bajaj has 26 years of experience in Real Estate Law, Labor Law, and Consumer Protection Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 108.98593776711638 USD per hour,He takes 83.23045703484503 Avg Days for Disposal,"He speaks: Marathi, Telugu and Telugu","He practices at Anne PLC, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
490,Drishya Barman,"Drishya Barman has 15 years of experience in Corporate Law, Constitutional Law, and Constitutional Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 243.57915879994093 USD per hour,He takes 72.98743282083313 Avg Days for Disposal,"He speaks: Tamil, Urdu and Bengali","He practices at Devan-Rana, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Female
491,Drishya Bora,"Drishya Bora has 1 years of experience in Family Law, Banking and Finance Law, and Constitutional Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 67.46582651531095 USD per hour,He takes 99.37355391981065 Avg Days for Disposal,"He speaks: Marathi, Marathi and Telugu","He practices at Walla PLC, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
492,Drishya Chanda,"Drishya Chanda has 20 years of experience in Criminal Law, Environmental Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 182.71901111173895 USD per hour,He takes 67.5415140827374 Avg Days for Disposal,"He speaks: Telugu, Malayalam and Malayalam","He practices at Warrior-Sarraf, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
493,Drishya Dugar,"Drishya Dugar has 18 years of experience in Real Estate Law, Constitutional Law, and Immigration Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 404.6719046610679 USD per hour,He takes 79.74226649250636 Avg Days for Disposal,"He speaks: Urdu, Bengali and Telugu","He practices at Gupta-Bajwa, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Female
494,Drishya Gandhi,"Drishya Gandhi has 7 years of experience in Human Rights Law, Consumer Protection Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 298.0928257982664 USD per hour,He takes 53.38943977837374 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Tamil","He practices at Amble, Rao and Kapur, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Female
495,Drishya Madan,"Drishya Madan has 11 years of experience in Consumer Protection Law, Labor Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 241.41042332149263 USD per hour,He takes 73.12220847403258 Avg Days for Disposal,"He speaks: Punjabi, Malayalam and Punjabi","He practices at Sangha-Sachdeva, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
496,Drishya Mand,"Drishya Mand has 9 years of experience in Labor Law, Tax Law, and Intellectual Property Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 248.05434694322128 USD per hour,He takes 72.62095104510772 Avg Days for Disposal,"He speaks: Urdu, Urdu and Telugu","He practices at Chakraborty, Basu and Basak, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
497,Drishya Rattan,"Drishya Rattan has 10 years of experience in Environmental Law, Environmental Law, and Family Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 301.04563261004853 USD per hour,He takes 67.88245969427646 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Tamil","He practices at Kalita, Taneja and Chahal, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
498,Drishya Sandal,"Drishya Sandal has 21 years of experience in Family Law, Immigration Law, and Human Rights Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 291.4601855128791 USD per hour,He takes 89.40110304939954 Avg Days for Disposal,"He speaks: Tamil, Malayalam and Telugu","He practices at Karnik Group, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Individuals.,Female
499,Drishya Varkey,"Drishya Varkey has 22 years of experience in Environmental Law, Immigration Law, and Real Estate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 241.88272542138776 USD per hour,He takes 113.54442880409239 Avg Days for Disposal,"He speaks: Kannada, Malayalam and Malayalam","He practices at Deshmukh-Uppal, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
500,Ehsaan Bhakta,"Ehsaan Bhakta has 5 years of experience in Constitutional Law, Environmental Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 176.2084508920936 USD per hour,He takes 88.7049321262991 Avg Days for Disposal,"He speaks: Marathi, Marathi and Assamese","He practices at Bava and Sons, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Male
501,Ehsaan Chhabra,"Ehsaan Chhabra has 14 years of experience in Media and Entertainment Law, Banking and Finance Law, and Corporate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 328.0159375651789 USD per hour,He takes 74.1179977762827 Avg Days for Disposal,"He speaks: Bengali, Gujarati and Bengali","He practices at Shetty, Chaudhuri and Baral, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
502,Ehsaan Dhawan,"Ehsaan Dhawan has 23 years of experience in Consumer Protection Law, Consumer Protection Law, and Intellectual Property Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 426.2533769952692 USD per hour,He takes 76.03497432551337 Avg Days for Disposal,"He speaks: Kannada, Marathi and Hindi","He practices at Das-Kurian, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
503,Ehsaan Gupta,"Ehsaan Gupta has 8 years of experience in Constitutional Law, Consumer Protection Law, and Medical Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 281.2441256502051 USD per hour,He takes 72.48363876150118 Avg Days for Disposal,"He speaks: Assamese, Tamil and Telugu","He practices at De Group, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Male
504,Ehsaan Mahajan,"Ehsaan Mahajan has 27 years of experience in Real Estate Law, Medical Law, and Consumer Protection Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 498.5074750706059 USD per hour,He takes 80.24015067995708 Avg Days for Disposal,"He speaks: Gujarati, Bengali and Bengali","He practices at Anand PLC, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Male
505,Ehsaan Ravi,"Ehsaan Ravi has 19 years of experience in Human Rights Law, Environmental Law, and Civil Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 453.3063121157599 USD per hour,He takes 67.16498522577383 Avg Days for Disposal,"He speaks: Malayalam, Odia and Tamil","He practices at Ganguly PLC, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
