,Lawyer Names,Information,First_Name
474,Rasha Ramakrishnan,"Rasha Ramakrishnan has 10 years of experience in Banking and Finance Law, Corporate Law, and Constitutional Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 220.96593093290653 USD per hour. He takes 94.52110604671677 Avg Days for Disposal. He speaks: Marathi, Assamese and Kannada. He practices at Datta PLC, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Rasha
494,Ehsaan Sodhi,"Ehsaan Sodhi has 12 years of experience in Civil Law, Corporate Law, and Corporate Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 232.9864370982367 USD per hour. He takes 102.9610497320842 Avg Days for Disposal. He speaks: Telugu, Bengali and Urdu. He practices at Toor Inc, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Ehsaan
504,Stuvan Cheema,"Stuvan Cheema has 25 years of experience in Family Law, Environmental Law, and Labor Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 371.61604237201595 USD per hour. He takes 101.46319805008284 Avg Days for Disposal. He speaks: Gujarati, Gujarati and Punjabi. He practices at Sarraf and Sons, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Stuvan
512,Rasha Banik,"Rasha Banik has 20 years of experience in Real Estate Law, Banking and Finance Law, and Banking and Finance Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is District Court. He charges 487.4240635805697 USD per hour. He takes 61.362038115341356 Avg Days for Disposal. He speaks: Assamese, Kannada and Assamese. He practices at Hayre, Chada and Bhargava, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Rasha
513,Rasha Choudhary,"Rasha Choudhary has 10 years of experience in Media and Entertainment Law, Criminal Law, and Human Rights Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 436.69622798171423 USD per hour. He takes 97.0572449419366 Avg Days for Disposal. He speaks: Telugu, Punjabi and Telugu. He practices at Chand LLC, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Rasha
528,Mamooty Bhatnagar,"Mamooty Bhatnagar has 4 years of experience in Intellectual Property Law, Human Rights Law, and Medical Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is District Court. He charges 457.5119619079095 USD per hour. He takes 102.49769146905273 Avg Days for Disposal. He speaks: Bengali, Assamese and Marathi. He practices at Ratti LLC, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Mamooty
543,Farhan Balasubramanian,"Farhan Balasubramanian has 17 years of experience in Labor Law, Medical Law, and Criminal Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is District Court. He charges 72.72836187452697 USD per hour. He takes 78.41711418293431 Avg Days for Disposal. He speaks: Punjabi, Malayalam and Gujarati. He practices at Thaman, Banik and Rege, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Farhan
551,Samaira Vyas,"Samaira Vyas has 26 years of experience in Constitutional Law, Tax Law, and Corporate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 412.65102613858437 USD per hour. He takes 86.59586300793113 Avg Days for Disposal. He speaks: Malayalam, Malayalam and Punjabi. He practices at Kadakia-Mann, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Samaira
573,Mamooty Kuruvilla,"Mamooty Kuruvilla has 5 years of experience in Real Estate Law, Human Rights Law, and Family Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 295.19675871322704 USD per hour. He takes 83.23508974456036 Avg Days for Disposal. He speaks: Bengali, Bengali and Gujarati. He practices at Gill-Dixit, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Mamooty
574,Shanaya Ahluwalia,"Shanaya Ahluwalia has 22 years of experience in Constitutional Law, Tax Law, and Constitutional Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 177.57823562192272 USD per hour. He takes 94.40924081914743 Avg Days for Disposal. He speaks: Gujarati, Assamese and Punjabi. He practices at Lad, Bera and Chakrabarti, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Shanaya
575,Ehsaan Saraf,"Ehsaan Saraf has 29 years of experience in Environmental Law, Consumer Protection Law, and Environmental Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 476.7913199936718 USD per hour. He takes 78.41186832236646 Avg Days for Disposal. He speaks: Kannada, Kannada and Hindi. He practices at Hari-Mandal, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Ehsaan
579,Parinaaz Yogi,"Parinaaz Yogi has 26 years of experience in Media and Entertainment Law, Environmental Law, and Media and Entertainment Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 97.75850868905874 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Kannada, Urdu and Tamil. He practices at Dada-Gera, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Parinaaz
580,Anahi Zacharia,"Anahi Zacharia has 16 years of experience in Intellectual Property Law, Medical Law, and Intellectual Property Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 271.7516056392301 USD per hour. He takes 131.8831330186494 Avg Days for Disposal. He speaks: Punjabi, Tamil and Telugu. He practices at Chadha PLC, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Anahi
582,Aaina Kaul,"Aaina Kaul has 5 years of experience in Consumer Protection Law, Environmental Law, and Environmental Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 490.2194585882633 USD per hour. He takes 101.8230621119578 Avg Days for Disposal. He speaks: Punjabi, Assamese and Bengali. He practices at Amble Ltd, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Aaina
586,Suhana Chada,"Suhana Chada has 14 years of experience in Medical Law, Criminal Law, and Human Rights Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 337.7238896543441 USD per hour. He takes 82.74099832573151 Avg Days for Disposal. He speaks: Marathi, Punjabi and Telugu. He practices at Banik LLC, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Suhana
599,Neelofar Din,"Neelofar Din has 21 years of experience in Consumer Protection Law, Real Estate Law, and Human Rights Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 186.47646172945036 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Assamese, Bengali and Assamese. He practices at Virk-Bala, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Neelofar
610,Farhan Sarna,"Farhan Sarna has 2 years of experience in Tax Law, Human Rights Law, and Banking and Finance Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 366.2898998225456 USD per hour. He takes 85.41068352702612 Avg Days for Disposal. He speaks: Gujarati, Urdu and Marathi. He practices at Gaba-Tank, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Farhan
614,Suhana Chaudhuri,"Suhana Chaudhuri has 19 years of experience in Corporate Law, Banking and Finance Law, and Immigration Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 382.16783967876034 USD per hour. He takes 115.95482722285753 Avg Days for Disposal. He speaks: Odia, Odia and Marathi. He practices at Subramaniam LLC, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Individuals.",Suhana
616,Dharmajan Apte,"Dharmajan Apte has 1 years of experience in Immigration Law, Environmental Law, and Intellectual Property Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 308.0712937509395 USD per hour. He takes 92.93104831924981 Avg Days for Disposal. He speaks: Bengali, Telugu and Bengali. He practices at Banerjee, Mani and Saran, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Dharmajan
620,Farhan Bajaj,"Farhan Bajaj has 4 years of experience in Criminal Law, Corporate Law, and Constitutional Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 283.3218387240082 USD per hour. He takes 94.43267537385508 Avg Days for Disposal. He speaks: Telugu, Marathi and Hindi. He practices at Goswami-Kurian, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Farhan
624,Abram Thaker,"Abram Thaker has 23 years of experience in Consumer Protection Law, Human Rights Law, and Real Estate Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is High Court. He charges 170.82503428887293 USD per hour. He takes 80.5886889836044 Avg Days for Disposal. He speaks: Bengali, Kannada and Gujarati. He practices at Issac, Yogi and Grewal, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Abram
630,Shalv Gade,"Shalv Gade has 24 years of experience in Environmental Law, Tax Law, and Tax Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 270.1952363638046 USD per hour. He takes 78.38694272470649 Avg Days for Disposal. He speaks: Assamese, Odia and Gujarati. He practices at Virk-Chandran, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Shalv
637,Samaira Chawla,"Samaira Chawla has 29 years of experience in Labor Law, Civil Law, and Tax Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 198.19457486712693 USD per hour. He takes 48.392775900991246 Avg Days for Disposal. He speaks: Assamese, Urdu and Hindi. He practices at Randhawa Inc, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Individuals.",Samaira
640,Indrans Das,"Indrans Das has 5 years of experience in Constitutional Law, Family Law, and Real Estate Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 295.00759946712583 USD per hour. He takes 91.82766696198681 Avg Days for Disposal. He speaks: Telugu, Marathi and Kannada. He practices at Iyer-D’Alia, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Indrans
656,Parinaaz Singh,"Parinaaz Singh has 18 years of experience in Consumer Protection Law, Immigration Law, and Environmental Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 455.4084786201458 USD per hour. He takes 86.28989419462265 Avg Days for Disposal. He speaks: Malayalam, Kannada and Bengali. He practices at Johal-Magar, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Parinaaz
657,Neelofar Jain,"Neelofar Jain has 3 years of experience in Civil Law, Immigration Law, and Banking and Finance Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 353.3841269733262 USD per hour. He takes 54.315059388701634 Avg Days for Disposal. He speaks: Hindi, Punjabi and Gujarati. He practices at Lalla-Thaker, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Individuals.",Neelofar
663,Anahi Shah,"Anahi Shah has 26 years of experience in Constitutional Law, Intellectual Property Law, and Environmental Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 287.289903039077 USD per hour. He takes 88.90339046986593 Avg Days for Disposal. He speaks: Bengali, Punjabi and Hindi. He practices at Tak-Gopal, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Anahi
666,Shanaya Chada,"Shanaya Chada has 2 years of experience in Intellectual Property Law, Civil Law, and Immigration Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 90.14997562575736 USD per hour. He takes 83.94930381046976 Avg Days for Disposal. He speaks: Marathi, Tamil and Bengali. He practices at Dewan and Sons, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Shanaya
672,Suhana Saini,"Suhana Saini has 21 years of experience in Criminal Law, Human Rights Law, and Tax Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 196.43822630717352 USD per hour. He takes 83.39588044723794 Avg Days for Disposal. He speaks: Assamese, Odia and Telugu. He practices at Sathe-Krishnamurthy, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Suhana
673,Farhan Rattan,"Farhan Rattan has 18 years of experience in Civil Law, Corporate Law, and Real Estate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 92.63251165070487 USD per hour. He takes 82.06502378695309 Avg Days for Disposal. He speaks: Odia, Telugu and Odia. He practices at Doshi-Dua, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Individuals.",Farhan
676,Ryan Hegde,"Ryan Hegde has 29 years of experience in Environmental Law, Immigration Law, and Banking and Finance Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is District Court. He charges 240.7136833281084 USD per hour. He takes 58.19869177319738 Avg Days for Disposal. He speaks: Assamese, Marathi and Marathi. He practices at Ramanathan-Bawa, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Ryan
687,Nehmat Savant,"Nehmat Savant has 24 years of experience in Consumer Protection Law, Consumer Protection Law, and Civil Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 79.52034422526329 USD per hour. He takes 101.09916077068975 Avg Days for Disposal. He speaks: Gujarati, Assamese and Kannada. He practices at Ramachandran and Sons, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Nehmat
697,Anahi Grover,"Anahi Grover has 23 years of experience in Media and Entertainment Law, Corporate Law, and Labor Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 240.8832750856893 USD per hour. He takes 76.98036866207502 Avg Days for Disposal. He speaks: Gujarati, Urdu and Tamil. He practices at Uppal, Lalla and Bhargava, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Anahi
700,Stuvan Comar,"Stuvan Comar has 17 years of experience in Media and Entertainment Law, Corporate Law, and Intellectual Property Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 421.3106940476386 USD per hour. He takes 73.07113990354448 Avg Days for Disposal. He speaks: Gujarati, Odia and Hindi. He practices at Karpe Inc, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Stuvan
701,Farhan Bhalla,"Farhan Bhalla has 23 years of experience in Immigration Law, Consumer Protection Law, and Corporate Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 268.36502186625853 USD per hour. He takes 104.58665996877015 Avg Days for Disposal. He speaks: Bengali, Gujarati and Telugu. He practices at Sharma and Sons, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Farhan
719,Dharmajan Sami,"Dharmajan Sami has 29 years of experience in Human Rights Law, Corporate Law, and Real Estate Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is High Court. He charges 137.05125260537187 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Gujarati, Bengali and Gujarati. He practices at Bhasin, Bhatti and Sura, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Dharmajan
728,Aaina Sundaram,"Aaina Sundaram has 19 years of experience in Real Estate Law, Medical Law, and Constitutional Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 83.81432892991396 USD per hour. He takes 92.54621651955992 Avg Days for Disposal. He speaks: Assamese, Urdu and Marathi. He practices at Sanghvi Ltd, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Aaina
733,Samaira Sundaram,"Samaira Sundaram has 5 years of experience in Family Law, Environmental Law, and Corporate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 300.8411351015639 USD per hour. He takes 111.7041621958047 Avg Days for Disposal. He speaks: Bengali, Assamese and Hindi. He practices at Chand-Jha, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Individuals.",Samaira
735,Shalv Bhasin,"Shalv Bhasin has 12 years of experience in Labor Law, Consumer Protection Law, and Constitutional Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 342.8725777201976 USD per hour. He takes 66.4051611439071 Avg Days for Disposal. He speaks: Tamil, Malayalam and Bengali. He practices at Bhatt, Arya and Sharaf, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Individuals.",Shalv
761,Kismat Raman,"Kismat Raman has 12 years of experience in Criminal Law, Criminal Law, and Media and Entertainment Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 229.21260568853577 USD per hour. He takes 77.95333749070028 Avg Days for Disposal. He speaks: Hindi, Bengali and Odia. He practices at Kadakia, Bandi and Goswami, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Kismat
763,Dhanuk Ganesan,"Dhanuk Ganesan has 10 years of experience in Consumer Protection Law, Constitutional Law, and Real Estate Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is High Court. He charges 350.336988740224 USD per hour. He takes 130.8286822185974 Avg Days for Disposal. He speaks: Telugu, Punjabi and Punjabi. He practices at Bath-Aggarwal, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Individuals.",Dhanuk
777,Stuvan Kota,"Stuvan Kota has 26 years of experience in Tax Law, Family Law, and Immigration Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 99.21015639926549 USD per hour. He takes 111.53356489745435 Avg Days for Disposal. He speaks: Tamil, Urdu and Assamese. He practices at Sandal, Tak and Maharaj, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Stuvan
779,Siya Krish,"Siya Krish has 5 years of experience in Media and Entertainment Law, Corporate Law, and Constitutional Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Specialized Court. He charges 201.5814656512187 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Hindi, Hindi and Telugu. He practices at Choudhry, Kapur and Hegde, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Siya
782,Neelofar Sule,"Neelofar Sule has 6 years of experience in Consumer Protection Law, Medical Law, and Labor Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 85.252197992903 USD per hour. He takes 90.11591839763527 Avg Days for Disposal. He speaks: Hindi, Marathi and Malayalam. He practices at Sarna-Johal, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Neelofar
783,Abram Tripathi,"Abram Tripathi has 19 years of experience in Immigration Law, Real Estate Law, and Corporate Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 82.65865912011986 USD per hour. He takes 104.17967656853799 Avg Days for Disposal. He speaks: Bengali, Malayalam and Telugu. He practices at Reddy, Bahri and Din, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Abram
809,Siya Karan,"Siya Karan has 13 years of experience in Civil Law, Medical Law, and Banking and Finance Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Specialized Court. He charges 302.1569034576455 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Kannada, Kannada and Marathi. He practices at Sheth-Varghese, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Siya
811,Parinaaz Borde,"Parinaaz Borde has 18 years of experience in Medical Law, Media and Entertainment Law, and Corporate Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 209.6805755437962 USD per hour. He takes 95.01490581830255 Avg Days for Disposal. He speaks: Tamil, Punjabi and Tamil. He practices at Choudhury PLC, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Parinaaz
813,Dharmajan De,"Dharmajan De has 26 years of experience in Consumer Protection Law, Media and Entertainment Law, and Environmental Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 313.41894025593035 USD per hour. He takes 77.42249075424071 Avg Days for Disposal. He speaks: Tamil, Odia and Marathi. He practices at Lall-Saxena, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Dharmajan
816,Suhana Chopra,"Suhana Chopra has 8 years of experience in Real Estate Law, Intellectual Property Law, and Civil Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 166.75212698063433 USD per hour. He takes 35.98372343310723 Avg Days for Disposal. He speaks: Assamese, Kannada and Kannada. He practices at Sheth-Kalita, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Suhana
831,Aaina Sule,"Aaina Sule has 21 years of experience in Real Estate Law, Constitutional Law, and Corporate Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 125.07336722761828 USD per hour. He takes 112.39504656664805 Avg Days for Disposal. He speaks: Odia, Gujarati and Kannada. He practices at Goda-Bakshi, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Aaina
833,Nirvaan Dugar,"Nirvaan Dugar has 26 years of experience in Environmental Law, Labor Law, and Banking and Finance Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 400.7892568207698 USD per hour. He takes 99.27540849389497 Avg Days for Disposal. He speaks: Hindi, Gujarati and Assamese. He practices at Magar Inc, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Nirvaan
845,Stuvan Talwar,"Stuvan Talwar has 5 years of experience in Criminal Law, Civil Law, and Constitutional Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is District Court. He charges 287.86289064684905 USD per hour. He takes 113.63813714252954 Avg Days for Disposal. He speaks: Marathi, Telugu and Bengali. He practices at Rama-Chada, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Individuals.",Stuvan
847,Farhan Chahal,"Farhan Chahal has 3 years of experience in Real Estate Law, Criminal Law, and Banking and Finance Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 380.98431760711156 USD per hour. He takes 79.09838793249236 Avg Days for Disposal. He speaks: Hindi, Kannada and Marathi. He practices at Subramaniam-Saraf, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Farhan
854,Ryan Jaggi,"Ryan Jaggi has 17 years of experience in Consumer Protection Law, Human Rights Law, and Real Estate Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 74.82046577080345 USD per hour. He takes 100.01322120554994 Avg Days for Disposal. He speaks: Telugu, Bengali and Odia. He practices at Kadakia and Sons, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Ryan
874,Nirvaan Chanda,"Nirvaan Chanda has 21 years of experience in Consumer Protection Law, Real Estate Law, and Medical Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 378.8055551877756 USD per hour. He takes 64.9235809000775 Avg Days for Disposal. He speaks: Marathi, Marathi and Bengali. He practices at Kara-Rajagopalan, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Nirvaan
875,Nirvaan Kapur,"Nirvaan Kapur has 8 years of experience in Constitutional Law, Banking and Finance Law, and Civil Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 284.8380328994805 USD per hour. He takes 130.6549746650234 Avg Days for Disposal. He speaks: Urdu, Marathi and Kannada. He practices at Sama, Sha and Ganesh, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Nirvaan
880,Abram Sachar,"Abram Sachar has 8 years of experience in Human Rights Law, Constitutional Law, and Banking and Finance Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 452.64289415562274 USD per hour. He takes 87.89169771746353 Avg Days for Disposal. He speaks: Tamil, Gujarati and Tamil. He practices at Rajagopalan-D’Alia, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Abram
892,Taimur Gour,"Taimur Gour has 9 years of experience in Constitutional Law, Intellectual Property Law, and Consumer Protection Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 351.6142892199616 USD per hour. He takes 79.12708374299922 Avg Days for Disposal. He speaks: Bengali, Malayalam and Urdu. He practices at Khosla, Bhargava and Ramachandran, and is based in Hyderabad. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Taimur
901,Ivana Gera,"Ivana Gera has 14 years of experience in Tax Law, Media and Entertainment Law, and Labor Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 160.3756872384653 USD per hour. He takes 74.61052773778833 Avg Days for Disposal. He speaks: Odia, Gujarati and Malayalam. He practices at Agrawal-Barman, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Ivana
905,Seher Gupta,"Seher Gupta has 18 years of experience in Family Law, Family Law, and Constitutional Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is High Court. He charges 487.04896034847246 USD per hour. He takes 128.98234350111875 Avg Days for Disposal. He speaks: Hindi, Urdu and Marathi. He practices at Kalita, Iyer and Subramanian, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Seher
925,Indrans Buch,"Indrans Buch has 11 years of experience in Family Law, Immigration Law, and Criminal Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 75.34997500965791 USD per hour. He takes 91.59274379160324 Avg Days for Disposal. He speaks: Hindi, Marathi and Tamil. He practices at Hari PLC, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Indrans
935,Aaryahi Lall,"Aaryahi Lall has 2 years of experience in Consumer Protection Law, Immigration Law, and Media and Entertainment Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 193.81524181699925 USD per hour. He takes 69.89267037950344 Avg Days for Disposal. He speaks: Bengali, Urdu and Tamil. He practices at Divan-Sarma, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Aaryahi
939,Dhanuk Wadhwa,"Dhanuk Wadhwa has 21 years of experience in Tax Law, Intellectual Property Law, and Consumer Protection Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 82.96052184832556 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Telugu, Gujarati and Telugu. He practices at Char, Majumdar and Bali, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Dhanuk
941,Vardaniya Balay,"Vardaniya Balay has 23 years of experience in Banking and Finance Law, Criminal Law, and Corporate Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 388.5841549454042 USD per hour. He takes 78.06044439224253 Avg Days for Disposal. He speaks: Tamil, Marathi and Marathi. He practices at Raj-Dube, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Vardaniya
944,Neelofar Sarna,"Neelofar Sarna has 17 years of experience in Labor Law, Media and Entertainment Law, and Labor Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 351.22344065144114 USD per hour. He takes 81.67070846098446 Avg Days for Disposal. He speaks: Assamese, Gujarati and Kannada. He practices at Lala-Chanda, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Individuals.",Neelofar
952,Aaryahi Chowdhury,"Aaryahi Chowdhury has 21 years of experience in Family Law, Real Estate Law, and Environmental Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 174.8420306604406 USD per hour. He takes 84.02575449686177 Avg Days for Disposal. He speaks: Bengali, Punjabi and Punjabi. He practices at Gill-Khatri, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Aaryahi
