Lawyer Names,0,1,2,3,4,5,6,7,8
Kavya Garde,"Kavya Garde has 24 years of experience in Human Rights Law, Corporate Law, and Corporate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 168.08723676329652 USD per hour,He takes 76.07670048977974 Avg Days for Disposal,"He speaks: Bengali, Odia and Malayalam","He practices at Chakraborty-Barad, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Neysa Chadha,"Neysa Chadha has 18 years of experience in Intellectual Property Law, Medical Law, and Immigration Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 158.79402836585672 USD per hour,He takes 108.65142417154388 Avg Days for Disposal,"He speaks: Gujarati, Odia and Kannada","He practices at Chana, Kata and Cheema, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Saanvi Deep,"Saanvi Deep has 15 years of experience in Medical Law, Consumer Protection Law, and Media and Entertainment Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 267.3563507797777 USD per hour,He takes 95.33007293385205 Avg Days for Disposal,"He speaks: Marathi, Hindi and Hindi","He practices at Sha Group, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Individuals.
Kartik Ramakrishnan,"Kartik Ramakrishnan has 22 years of experience in Medical Law, Constitutional Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 449.07419276103167 USD per hour,He takes 62.86098428117613 Avg Days for Disposal,"He speaks: Kannada, Hindi and Assamese","He practices at Shankar-Soni, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Sana Chauhan,"Sana Chauhan has 23 years of experience in Criminal Law, Real Estate Law, and Real Estate Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 220.25641175719113 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Kannada, Punjabi and Malayalam","He practices at Wali Group, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Taran Luthra,"Taran Luthra has 2 years of experience in Civil Law, Criminal Law, and Tax Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 387.3765860525945 USD per hour,He takes 88.2349904671072 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Hindi","He practices at Srivastava, Sharaf and Basu, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Jivin Zacharia,"Jivin Zacharia has 27 years of experience in Consumer Protection Law, Criminal Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 93.56842894424838 USD per hour,He takes 83.1679941562539 Avg Days for Disposal,"He speaks: Punjabi, Assamese and Gujarati","He practices at Chauhan and Sons, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Kavya Jha,"Kavya Jha has 10 years of experience in Criminal Law, Consumer Protection Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 264.2255159679778 USD per hour,He takes 93.67435639758006 Avg Days for Disposal,"He speaks: Odia, Malayalam and Telugu","He practices at Srinivas, Wason and Loke, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Damini Krishna,"Damini Krishna has 2 years of experience in Banking and Finance Law, Tax Law, and Intellectual Property Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 496.258763176731 USD per hour,He takes 97.11950228350189 Avg Days for Disposal,"He speaks: Marathi, Tamil and Malayalam","He practices at Chowdhury, Karpe and Tailor, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Divit Borra,"Divit Borra has 26 years of experience in Immigration Law, Corporate Law, and Banking and Finance Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 396.69701125655166 USD per hour,He takes 100.6138773296193 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Gujarati","He practices at Singh Group, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Piya Ranganathan,"Piya Ranganathan has 17 years of experience in Medical Law, Medical Law, and Tax Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 144.73781979827584 USD per hour,He takes 107.67379271322004 Avg Days for Disposal,"He speaks: Punjabi, Marathi and Odia","He practices at Dar-Kulkarni, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Damini Badal,"Damini Badal has 8 years of experience in Tax Law, Labor Law, and Consumer Protection Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 275.6486631640598 USD per hour,He takes 96.12203869167534 Avg Days for Disposal,"He speaks: Punjabi, Assamese and Telugu","He practices at Sehgal PLC, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Aarav Mangat,"Aarav Mangat has 1 years of experience in Human Rights Law, Civil Law, and Tax Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 155.13114364185495 USD per hour,He takes 69.36548866820458 Avg Days for Disposal,"He speaks: Assamese, Hindi and Telugu","He practices at Kumer PLC, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Vanya Dara,"Vanya Dara has 9 years of experience in Constitutional Law, Family Law, and Human Rights Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 234.30241726812918 USD per hour,He takes 82.89531813523213 Avg Days for Disposal,"He speaks: Hindi, Bengali and Bengali","He practices at Anand, Yohannan and Chacko, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Jayant Gulati,"Jayant Gulati has 11 years of experience in Real Estate Law, Medical Law, and Human Rights Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 401.03781068073414 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Marathi, Bengali and Punjabi","He practices at Buch, Wali and Bail, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Nayantara Khanna,"Nayantara Khanna has 22 years of experience in Immigration Law, Human Rights Law, and Environmental Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 397.05116688068165 USD per hour,He takes 100.86736590572592 Avg Days for Disposal,"He speaks: Bengali, Marathi and Hindi","He practices at Baria Group, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Diya Dar,"Diya Dar has 16 years of experience in Real Estate Law, Labor Law, and Intellectual Property Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 152.6451700560733 USD per hour,He takes 125.53930951217245 Avg Days for Disposal,"He speaks: Odia, Kannada and Odia","He practices at Handa, Karpe and Randhawa, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Dhanush Edwin,"Dhanush Edwin has 7 years of experience in Consumer Protection Law, Tax Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 465.00049316968705 USD per hour,He takes 110.93151123298779 Avg Days for Disposal,"He speaks: Tamil, Bengali and Urdu","He practices at Jani, Tak and Sharma, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Himmat Ramanathan,"Himmat Ramanathan has 29 years of experience in Consumer Protection Law, Family Law, and Constitutional Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 316.65568224417206 USD per hour,He takes 93.62703107333623 Avg Days for Disposal,"He speaks: Telugu, Odia and Urdu","He practices at Wason-Ghosh, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Rasha Ramakrishnan,"Rasha Ramakrishnan has 10 years of experience in Banking and Finance Law, Corporate Law, and Constitutional Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 220.96593093290653 USD per hour,He takes 94.52110604671677 Avg Days for Disposal,"He speaks: Marathi, Assamese and Kannada","He practices at Datta PLC, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Renee Contractor,"Renee Contractor has 23 years of experience in Real Estate Law, Environmental Law, and Environmental Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 275.8710113513873 USD per hour,He takes 89.45129940184731 Avg Days for Disposal,"He speaks: Urdu, Odia and Malayalam","He practices at Datta, Gandhi and Varma, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Ayesha Halder,"Ayesha Halder has 26 years of experience in Consumer Protection Law, Human Rights Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 322.28206404698466 USD per hour,He takes 63.932930762302504 Avg Days for Disposal,"He speaks: Punjabi, Bengali and Tamil","He practices at Johal Inc, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Gatik Chaudry,"Gatik Chaudry has 3 years of experience in Constitutional Law, Tax Law, and Constitutional Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 301.9507393306034 USD per hour,He takes 90.27070878702337 Avg Days for Disposal,"He speaks: Hindi, Hindi and Odia","He practices at Choudhary and Sons, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Aarna Savant,"Aarna Savant has 18 years of experience in Family Law, Banking and Finance Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 268.8822659912802 USD per hour,He takes 108.16011828813296 Avg Days for Disposal,"He speaks: Gujarati, Punjabi and Malayalam","He practices at Char-Bala, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Nitya Golla,"Nitya Golla has 25 years of experience in Criminal Law, Family Law, and Environmental Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 277.21976184023003 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Kannada, Punjabi and Tamil","He practices at Madan and Sons, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Elakshi Wadhwa,"Elakshi Wadhwa has 24 years of experience in Corporate Law, Corporate Law, and Family Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 129.38535969254878 USD per hour,He takes 96.17929498592714 Avg Days for Disposal,"He speaks: Gujarati, Odia and Bengali","He practices at Brahmbhatt LLC, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Oorja Ram,"Oorja Ram has 13 years of experience in Media and Entertainment Law, Intellectual Property Law, and Banking and Finance Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 415.7298069371057 USD per hour,He takes 102.77386568839796 Avg Days for Disposal,"He speaks: Gujarati, Bengali and Urdu","He practices at Kadakia-Golla, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Madhup Gole,"Madhup Gole has 28 years of experience in Labor Law, Labor Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 293.7921439734569 USD per hour,He takes 76.35479341031287 Avg Days for Disposal,"He speaks: Odia, Kannada and Odia","He practices at Jayaraman, Batta and Sidhu, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Drishya Bajaj,"Drishya Bajaj has 26 years of experience in Real Estate Law, Labor Law, and Consumer Protection Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 108.98593776711638 USD per hour,He takes 83.23045703484503 Avg Days for Disposal,"He speaks: Marathi, Telugu and Telugu","He practices at Anne PLC, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Anay Wagle,"Anay Wagle has 7 years of experience in Tax Law, Civil Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 394.7706957122501 USD per hour,He takes 74.73132764284261 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Punjabi","He practices at Gupta-Dugal, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Onkar Samra,"Onkar Samra has 25 years of experience in Immigration Law, Consumer Protection Law, and Consumer Protection Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 469.5997902698079 USD per hour,He takes 77.6675158996589 Avg Days for Disposal,"He speaks: Odia, Malayalam and Marathi","He practices at Shankar, Ravi and Keer, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Dhruv Sengupta,"Dhruv Sengupta has 4 years of experience in Family Law, Corporate Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 476.2881046566329 USD per hour,He takes 70.68592074520409 Avg Days for Disposal,"He speaks: Tamil, Hindi and Punjabi","He practices at Kade, Raj and Yadav, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Mahika Agrawal,"Mahika Agrawal has 13 years of experience in Media and Entertainment Law, Real Estate Law, and Medical Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 216.05797958502774 USD per hour,He takes 76.4932730793296 Avg Days for Disposal,"He speaks: Bengali, Punjabi and Malayalam","He practices at Acharya, Dubey and Upadhyay, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Samar Bail,"Samar Bail has 20 years of experience in Real Estate Law, Intellectual Property Law, and Media and Entertainment Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 110.98259310233931 USD per hour,He takes 111.2918352119676 Avg Days for Disposal,"He speaks: Tamil, Bengali and Kannada","He practices at Mandal, Kade and Guha, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Keya Chokshi,"Keya Chokshi has 1 years of experience in Family Law, Environmental Law, and Criminal Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 283.2798319848793 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Marathi, Gujarati and Urdu","He practices at Ahluwalia, Koshy and Agarwal, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Jivin Kar,"Jivin Kar has 8 years of experience in Medical Law, Immigration Law, and Tax Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 100.67415320714932 USD per hour,He takes 91.89688828591035 Avg Days for Disposal,"He speaks: Kannada, Assamese and Gujarati","He practices at Deshpande Inc, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Pari Sankar,"Pari Sankar has 14 years of experience in Family Law, Family Law, and Family Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 470.29433833067776 USD per hour,He takes 82.45696869493567 Avg Days for Disposal,"He speaks: Tamil, Urdu and Gujarati","He practices at Lal LLC, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Hansh Khalsa,"Hansh Khalsa has 16 years of experience in Real Estate Law, Human Rights Law, and Family Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 132.6108323098157 USD per hour,He takes 107.68298905555409 Avg Days for Disposal,"He speaks: Odia, Assamese and Marathi","He practices at Mann Ltd, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Samarth Bhatt,"Samarth Bhatt has 14 years of experience in Intellectual Property Law, Intellectual Property Law, and Consumer Protection Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 163.74463697802383 USD per hour,He takes 109.66743444905424 Avg Days for Disposal,"He speaks: Odia, Malayalam and Assamese","He practices at Sami Ltd, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Ehsaan Sodhi,"Ehsaan Sodhi has 12 years of experience in Civil Law, Corporate Law, and Corporate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 232.9864370982367 USD per hour,He takes 102.9610497320842 Avg Days for Disposal,"He speaks: Telugu, Bengali and Urdu","He practices at Toor Inc, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Riya Dutt,"Riya Dutt has 19 years of experience in Tax Law, Media and Entertainment Law, and Tax Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 222.4240108516066 USD per hour,He takes 94.59201829654133 Avg Days for Disposal,"He speaks: Punjabi, Marathi and Assamese","He practices at Gara-Balasubramanian, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Kiara Mannan,"Kiara Mannan has 23 years of experience in Corporate Law, Banking and Finance Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 407.59830157905003 USD per hour,He takes 86.53410694738652 Avg Days for Disposal,"He speaks: Urdu, Bengali and Odia","He practices at Deo PLC, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Hazel Mandal,"Hazel Mandal has 15 years of experience in Corporate Law, Constitutional Law, and Family Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 255.34256924793306 USD per hour,He takes 72.12187943713126 Avg Days for Disposal,"He speaks: Urdu, Hindi and Telugu","He practices at Verma, Vig and Hora, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Dhruv Yadav,"Dhruv Yadav has 28 years of experience in Tax Law, Family Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 126.8457170015016 USD per hour,He takes 119.15293321683296 Avg Days for Disposal,"He speaks: Marathi, Assamese and Kannada","He practices at Lad, Ramakrishnan and Wable, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Sahil Hans,"Sahil Hans has 2 years of experience in Intellectual Property Law, Criminal Law, and Media and Entertainment Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 170.24445296873336 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Malayalam, Telugu and Gujarati","He practices at Ramachandran, Basak and Jaggi, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Romil Dyal,"Romil Dyal has 2 years of experience in Human Rights Law, Labor Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 279.1010233343849 USD per hour,He takes 99.95469520549263 Avg Days for Disposal,"He speaks: Punjabi, Marathi and Marathi","He practices at Sane Inc, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Umang Dhar,"Umang Dhar has 23 years of experience in Consumer Protection Law, Banking and Finance Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 116.3542628417607 USD per hour,He takes 105.89348358935096 Avg Days for Disposal,"He speaks: Telugu, Punjabi and Punjabi","He practices at Dugar, Shukla and Sule, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Ishaan Doctor,"Ishaan Doctor has 22 years of experience in Corporate Law, Consumer Protection Law, and Banking and Finance Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 325.24505404070635 USD per hour,He takes 81.67079254642006 Avg Days for Disposal,"He speaks: Hindi, Tamil and Telugu","He practices at Madan, Dugar and Tara, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Purab Trivedi,"Purab Trivedi has 19 years of experience in Human Rights Law, Corporate Law, and Intellectual Property Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 304.58628794801564 USD per hour,He takes 105.57018790973943 Avg Days for Disposal,"He speaks: Assamese, Tamil and Gujarati","He practices at Dass Group, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Individuals.
Stuvan Cheema,"Stuvan Cheema has 25 years of experience in Family Law, Environmental Law, and Labor Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 371.61604237201595 USD per hour,He takes 101.46319805008284 Avg Days for Disposal,"He speaks: Gujarati, Gujarati and Punjabi","He practices at Sarraf and Sons, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Vanya Sahota,"Vanya Sahota has 26 years of experience in Constitutional Law, Criminal Law, and Medical Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 471.96707692071544 USD per hour,He takes 115.91945753072648 Avg Days for Disposal,"He speaks: Tamil, Punjabi and Odia","He practices at Mallick, Toor and Kant, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Individuals.
Vedika Singhal,"Vedika Singhal has 29 years of experience in Immigration Law, Civil Law, and Corporate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 460.51455249552004 USD per hour,He takes 82.95980300359933 Avg Days for Disposal,"He speaks: Punjabi, Kannada and Assamese","He practices at Krishnan, Goel and Mani, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Tarini Gera,"Tarini Gera has 22 years of experience in Medical Law, Human Rights Law, and Intellectual Property Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 475.7340281309741 USD per hour,He takes 70.71203974080427 Avg Days for Disposal,"He speaks: Gujarati, Odia and Punjabi","He practices at Bhakta-Dash, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Riya Borra,"Riya Borra has 26 years of experience in Criminal Law, Medical Law, and Corporate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 160.12201866066542 USD per hour,He takes 82.41765366833233 Avg Days for Disposal,"He speaks: Hindi, Assamese and Telugu","He practices at Handa, Mandal and Virk, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Individuals.
Ritvik Ghosh,"Ritvik Ghosh has 26 years of experience in Corporate Law, Tax Law, and Banking and Finance Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Specialized Court,He charges 109.20438798770958 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Kannada, Gujarati and Punjabi","He practices at Garde-Balasubramanian, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Shaan Mane,"Shaan Mane has 22 years of experience in Tax Law, Immigration Law, and Human Rights Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 186.02451522340183 USD per hour,He takes 90.87319090627585 Avg Days for Disposal,"He speaks: Telugu, Tamil and Odia","He practices at Ganesan Ltd, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Akarsh Goda,"Akarsh Goda has 17 years of experience in Constitutional Law, Immigration Law, and Criminal Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 452.7883277448416 USD per hour,He takes 84.09843155588175 Avg Days for Disposal,"He speaks: Gujarati, Odia and Kannada","He practices at Karpe, Mandal and Choudhary, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Rasha Banik,"Rasha Banik has 20 years of experience in Real Estate Law, Banking and Finance Law, and Banking and Finance Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 487.4240635805697 USD per hour,He takes 61.362038115341356 Avg Days for Disposal,"He speaks: Assamese, Kannada and Assamese","He practices at Hayre, Chada and Bhargava, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Rasha Choudhary,"Rasha Choudhary has 10 years of experience in Media and Entertainment Law, Criminal Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 436.69622798171423 USD per hour,He takes 97.0572449419366 Avg Days for Disposal,"He speaks: Telugu, Punjabi and Telugu","He practices at Chand LLC, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Sumer Goel,"Sumer Goel has 6 years of experience in Banking and Finance Law, Medical Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 99.50797450739462 USD per hour,He takes 119.58516718623301 Avg Days for Disposal,"He speaks: Telugu, Odia and Kannada","He practices at Randhawa Inc, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Saksham Kumer,"Saksham Kumer has 15 years of experience in Civil Law, Medical Law, and Consumer Protection Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 476.3425991269069 USD per hour,He takes 96.96376857184505 Avg Days for Disposal,"He speaks: Punjabi, Punjabi and Assamese","He practices at Bakshi, Maharaj and Aurora, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Vivaan Desai,"Vivaan Desai has 22 years of experience in Tax Law, Labor Law, and Immigration Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 240.5111123078537 USD per hour,He takes 99.1370327858027 Avg Days for Disposal,"He speaks: Odia, Kannada and Marathi","He practices at Kumar-Arya, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Madhav Rau,"Madhav Rau has 11 years of experience in Consumer Protection Law, Civil Law, and Tax Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 54.189630843059156 USD per hour,He takes 98.58667959232653 Avg Days for Disposal,"He speaks: Bengali, Urdu and Urdu","He practices at Manda-Keer, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Advik Shukla,"Advik Shukla has 28 years of experience in Banking and Finance Law, Constitutional Law, and Banking and Finance Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 249.0771833366871 USD per hour,He takes 95.955700048236 Avg Days for Disposal,"He speaks: Marathi, Marathi and Assamese","He practices at Karan-Ramakrishnan, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Anahita Sankar,"Anahita Sankar has 5 years of experience in Banking and Finance Law, Labor Law, and Human Rights Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 70.73112635396042 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Urdu, Odia and Punjabi","He practices at Sangha and Sons, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Tiya Bassi,"Tiya Bassi has 1 years of experience in Family Law, Intellectual Property Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 294.7450645225029 USD per hour,He takes 95.93060521778499 Avg Days for Disposal,"He speaks: Telugu, Assamese and Bengali","He practices at Manda-Malhotra, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Individuals.
Shamik Chahal,"Shamik Chahal has 8 years of experience in Civil Law, Consumer Protection Law, and Real Estate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 202.3493123466731 USD per hour,He takes 85.30984245520087 Avg Days for Disposal,"He speaks: Assamese, Odia and Kannada","He practices at Tiwari PLC, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Chirag Choudhury,"Chirag Choudhury has 21 years of experience in Immigration Law, Immigration Law, and Civil Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 263.04572011732193 USD per hour,He takes 78.0601663498687 Avg Days for Disposal,"He speaks: Punjabi, Punjabi and Odia","He practices at Contractor LLC, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
